"word","formal","lazy","keyer","usage","hint"
"is","s","s","","1",""
"this","ths","hs","","2",""
"were","e-r","er","","3",""
"then","th-n","hn","","4",""
"may","m-a","ma","","5",""
"see","s-e","se","","6",""
"phone","f-o-n","fon","","7",""
"center","^-s2-n","sn","","9",""
"these","th-e-s","hes","","11",""
"bet","b-e-t","beto","o","12",""
"team","t-e-m","tem","","13",""
"glad","g-l","gl","","15",""
"store","s2-t-o-r","stor","","16",""
"done","d-n","dn","","17",""
"down","d-n","dno","o","18",""
"new","n-u","nu","","19",""
"those","th-s","hso","o","21",""
"build","bld","bld","","22",""
"the","th","h","","23",""
"of","o","o","","24",""
"and","nt","nt","","25",""
"to","t-u","tu","","26",""
"a","h","hk","","27",""
"in","n","n","","28",""
"that","th-a","ha","","29",""
"I","a","ik","","30",""
"was","o-s","os","","31",""
"he","e","e","","32",""
"his","s","su","u","33",""
"with","e-th","eh","","34",""
"it","t","t","","35",""
"for","f","f","","36",""
"as","a-s","aso","o","37",""
"had","a-d","ad","","38",""
"you","u","u","","39",""
"not","n","ni","i","40",""
"be","b","b","","41",""
"on","o-n","ono","o","42",""
"at","t","ti","i","43",""
"by","b","bo","o","44",""
"her","e-r","ero","o","45",""
"which","ch","c","","46",""
"have","v","v","","47",""
"or","o-r","oro","o","48",""
"from","f-m","fm","","49",""
"but","b","bu","u","50",""
"all","o2","oo","o","51",""
"him","e-m","em","","52",""
"she","sh-e","ze","","53",""
"they","th-e","heo","o","54",""
"my","m-a","mao","o","55",""
"are","r","r","","56",""
"so","s2-o","soo","o","57",""
"me","m-e","meo","o","58",""
"their","th2","ho","o","59",""
"an","h","hko","o","60",""
"one","u-n","un","","61",""
"we","u-e","ue","","62",""
"who","^-h-\-u","hu","","63",""
"would","d","d","","64",""
"said","s2-e-d","sed","","65",""
"been","b-n","bn","","66",""
"no","n-o","noo","o","67",""
"will","l","l","","68",""
"them","th-m","hm","","69",""
"when","e-n","en","","70",""
"if","e-f","ef","","71",""
"there","th2","hi","i","72",""
"more","m","m","","73",""
"out","a-u","w","","74",""
"any","n-e","ne","","75",""
"up","/-p","p","","76",""
"into","nt-u","ntu","","77",""
"your","u","uo","o","78",""
"has","a-s","asu","u","79",""
"do","d-o","doo","o","80",""
"what","o-t","ot","","81",""
"could","k-d","kd","","82",""
"our","r","ro","o","83",""
"than","th-n","hno","o","84",""
"other","u-th","uh","","85",""
"some","s2-m","sm","","86",""
"very","v-e","ve","","87",""
"man","m-a-n","mano","o","88",""
"upon","p-n","pn","","89",""
"about","a-b","ab","","90",""
"its","t-s","ts","","91",""
"only","o-n-e","oneo","o","92",""
"time","tm","tm","","93",""
"like","l-a","la","","94",""
"little","l-e-t","leto","o","95",""
"now","n-a-u","nw","","96",""
"should","sh-d","zd","","97",""
"can","k","k","","98",""
"made","m-a-d","mad","","99",""
"did","td","dd","","100",""
"such","s-ch","sc","","101",""
"great","g-r","gr","","102",""
"must","m-s","ms","","103",""
"two","t-u","tuo","o","104",""
"before","b-f","bf","","105",""
"us","u-s","uso","o","106",""
"over","^-o","ou","u","107",""
"much","m-ch","mc","","108",""
"know","n-o","nou","u","109",""
"after","a-f","af","","110",""
"first","f-e-s","fes","","111",""
"never","n-v","nv","","114",""
"most","m-o","mo","","115",""
"where","a-r","ar","","116",""
"old","o-ld","oldo","o","117",""
"men","mn","mm","","118",""
"own","o-n","onu","u","119",""
"shall","sh","z","","120",""
"came","k-a-m","kam","","121",""
"project","pr-j-k","prjk","","122",""
"without","e-th-t","eht","","123",""
"come","k-m","km","","124",""
"make","m-a-k","mak","","125",""
"being","b-\-h","bg","","126",""
"day","d-a","da","","127",""
"might","m-a-t","mat","","128",""
"long","l-ng","lg","","129",""
"through","th-r-u","hru","","130",""
"himself","e-m-s","ems","","131",""
"work","r-k","rk","","132",""
"how","a-u","wo","o","133",""
"go","g","g","","134",""
"am","m","mu","u","135",""
"way","u-a","ua","","136",""
"even","e-v-n","evn","","137",""
"many","mn-e","mme","","139",""
"well","l","lo","o","140",""
"say","s-a","sa","","141",""
"every","e-v-e","eve","","142",""
"too","t-u","tuu","u","143",""
"think","th-\-h","hh","","144",""
"under","^-u","uu","u","145",""
"life","l-a-f","laf","","146",""
"went","e-nt","ent","","147",""
"back","b-a-k","bak","","148",""
"same","s2-a-m","sam","","149",""
"last","l-a-s","las","","150",""
"found","f-nt","fnt","","151",""
"take","t-a","ta","","152",""
"people","p-e-p","pep","","153",""
"thought","th-o-t","hot","","154",""
"here","^-h-\-e-r","hero","o","155",""
"still","s2-t-e2","ste","","156",""
"just","j-u-s","jus","","157",""
"while","i-l","il","","158",""
"also","o-s2-o","oso","","160",""
"again","a-g-n","agn","","161",""
"against","a-g-n-s","agns","","162",""
"place","pl-a-s","plas","","163",""
"away","/-n","na","a","164",""
"get","g-e-t","geto","o","165",""
"young","u-ng","ug","","166",""
"die","d-i","di","","167",""
"though","th-o","hoo","o","168",""
"yet","e-t","et","","169",""
"give","g-e","ge","","170",""
"hand","^-h-\-nt","hnt","","171",""
"eyes","i-s","iso","o","172",""
"ever","e-v","ev","","173",""
"part","p-t","pt","","174",""
"left","l-f-t","lft","","175",""
"things","th-\-s","hsu","u","176",""
"saw","s2-o","sou","u","177",""
"years","e-r-s","ers","","178",""
"took","t-u-k","tuk","","179",""
"nothing","n-\-h","ng","","180",""
"put","p","po","o","181",""
"three","th2-e","heu","u","182",""
"always","o-l-s","ols","","183",""
"off","o-f","ofo","o","184",""
"once","u-n-s","uns","","185",""
"another","n-u-th","nuh","","186",""
"right","r-i","ri","","187",""
"don't","d-o-n","don","","188",""
"between","b-tn","btn","","189",""
"each","e-ch","ec","","190",""
"face","f-a-s","fas","","191",""
"because","k-s2","ks","","192",""
"whom","^-h-\-u-m","hum","","193",""
"few","f-e-u","fu","","194",""
"tell","t-e","teo","o","195",""
"son","s2-n","sno","o","196",""
"love","l-v","lv","","197",""
"far","f-a","fa","","198",""
"seemed","s2-e-mt","semt","","199",""
"house","^-h-\-u-s","hus","","200",""
"got","g-t","gt","","201",""
"God","g","gu","u","202",""
"head","^-h-\-e-d","hed","","203",""
"called","k-o-/-t","kot","","204",""
"looked","l-u-/-t","lut","","205",""
"whole","^-h-\-o-l","hol","","206",""
"set","s2-e-t","seto","o","207",""
"find","f-i","fi","","208",""
"world","u-u","uuo","o","210",""
"thing","th-\-h","hg","","212",""
"both","b-o-th","boh","","213",""
"told","t-o","tou","u","214",""
"let","l-e","le","","215",""
"look","l-u","lu","","216",""
"night","n-i","nio","o","217",""
"heard","^-h-\-e2-d","hedo","o","219",""
"mind","m-i-n","min","","220",""
"knew","n-u","nuo","o","221",""
"heart","^-h-\-a2-t","hato","o","222",""
"seen","s2-e-n","sen","","223",""
"days","d-a-s","das","","224",""
"name","n-a","nao","o","225",""
"among","m-ng","mg","","226",""
"better","b-t-e2","bte","","227",""
"full","f-u","fuo","o","228",""
