b-h           being
/a            -tic
/b            -bility
/d            department, -hood, -ward
/e            -ingly
/e (over last character)  -egraph
/f            -fication
/g            -gram, -grim
/k            -cle
/l            -lity
/m            -mental, -mentality (1916)
/mt           -mity
/n            away (Expert), -ntic (1916), -way (Expert)
/nt           -nity
/o (on side)  -logical, -logy
/o (over last character)  -ograph
/p            up (Expert)
/r            -rity
/s (s1)       -city
/s (s2)       -ings
/sh           -ship
/st           -est, -ist, -stic
/t            -ed
/ts           -itis (1916)
/u            -ulate
/v            -vity (1916)
/ya           -tical
/ye (over last character)  -egraphy
1/n-e-r-g     one hundred years ago (Expert)
a             ah, Avenue (after name), eye, I
a/b           ability
a/d-e-l-u-v   antediluvian
a/k           antic, antique
a/l-o-j       antilogy
a/m (intersected)  a.m.
a/mn-e        antimony
a/n-a         antenna
a/o           assistant auditor
a/o-r         anterior
a/p-r-ch/a    assistant purchasing agent
a/r-k-t-e-k   antarctic
a/s-e-p       anticipate, antiseptic
a/s-e-p-sh    anticipation
a/s-e-tn      antecedent
a/s-tn        I understand
a/s-t-u       I understood
a/td          antedate
a-b           about
a-b/          abstr- (1916)
a-b/k (intersected)  habeas corpus
a-b-a-n-s     abeyance
a-b-a-nt      abandon
a-b-d         abed
a-b-e         abbey, I believe
a-b-e-u       abuse
a-b-i         abide
a-b-l         able
a-b-l-s-a     able to say
a-b-l-sh      ablution
a-b-mn-e      about how many
a-b-n         abound
a-b-n-o-m-l   abnormal
a-b-n-tn      abundant
a-b-o-d       aboard
a-b-o-l-e-sh  abolition
a-b-o-l-sh    abolish
a-b-o-r-e-j   aboriginal
a-b-r-e-v     abbreviate, abbreviation
a-b-r-o-d     abroad
a-b-r-p       abrupt
a-b-s         absence, absent
a-b-s-e       absentee, absently
a-b-s-e-d (s2-e2)  absurd
a-b-s-e-td-e (s2-e2)  absurdity
a-b-s-k       abstract
a-b-s-k-nt    abscond
a-b-s-o       absolute
a-b-s-o-b     absorb
a-b-s-o-p-sh  absorption
a-b-s-o-s-m   absolutism
a-b-s-tm-u-s  abstemious
a-b-s-tn      abstain
a-b-th        about the
a-b-v         above
a-ch-b-e-sh (a2)  archbishop
a-ch-d-ch-e (a2)  archduchy
a-ch-e-e (a2, e2)  archery
a-d           add, had, I would, aid
a-d/v (intersected)  ad valorem
a-d-a-mn-tn   adamantine
a-d-a-p/t     adapted
a-d-b         had been
a-d-e         idea, idly
a-d-e-k       adequate
a-d-e-k-s-e   adequacy
a-d-e-l       ideal
a-d-e-p       adept
a-d-e-u       adieu
a-df-s-m      atavism
a-d-h-e (e2)  adhere
a-d-j         adage
a-d-l         idle, idol, idyll
a-d-l-k       idyllic
a-d-o-mn      adornment
a-d-o-n       adorn, I don't
a-d-o-r       adore
a-d-o-r-b     adorable
a-d-p         adopt
a-d-p/t       adopted
a-d-r         address
a-d-r/t       addressed
a-d-r-o-e     adroit
a-d-s         adds, adz, aids
a-d-sh        addition
a-d-sh-ya     additionally
a-d-s-o-p-sh  adsorption
a-d-s-th-u    I desire to thank you
a-d-u-l       adult
a-d-u-l-r-a   adulterate
a-d-u-s       adduce
a-d-u-t       adult (Simp.)
a-f           after (1916)
a-f-a-r       affair
a-f-a-r-s     affairs
a-f-b         affable
a-f-d         afford
a-f-df        affidavit
a-f-d-s       afterwards
a-f-e-m       affirm
a-f-g-a-n     Afghanistan
a-f-i-n-s     affiance
a-f-k         affect
a-f-k-sh      affection
a-f-k-sh-a-t  affectionate
a-f-k-sh-a-t-e  affectionately
a-f-k-t       affected
a-f-l         afflict
a-f-mn-sh-d   aforementioned
a-f-n-u-n     afternoon
a-f-r         Africa
a-f-r-i       affright
a-f-s-e-d     aforesaid
a-f-t         after
a-f-tn-r      after-dinner
a-g           against (Expert), ago
a-g-a-s-k-l   Aguascalientes
a-g-e-u       ague, argue
a-g-l-o-m-sh  agglomeration
a-g-m         argument
a-g-m-sh      argumentation
a-g-n         again
a-g-n/s-t     agnostic
a-g-n-o-s-t-ss  agnosticism
a-g-n-s       against
a-g-r-nt      aground
a-j           age, agent
a-j/m (intersected)  assistant general manager
a-j-a-s       adjacent
a-j-d-e-k     adjudicate
a-j-e-nt (e2)  adjourned
a-j-k-v       adjective
a-j-l         ageless, agile
a-jnt         append, Argentina
a-jnt-s-i     appendicitis
a-j-p-a       assistant general passenger agent
a-j-p-r-ch/a  assistant general purchasing agent
a-j-s         ages, wages (Expert)
a-j-s-e       agency
a-j-t-a       agitate
a-j-u-s       adjust
a-j-u-s/t     adjusted
a-j-u-s-m     adjustment
a-j-u-s-m-a-t  adjust the matter
a-j-u-tn      adjutant
a-k           ache, acknowledge, act, Alaska (Cen.), I can
a-k/a         aquatic
a-k/s-t       acoustic
a-k/u         accumulate (Expert)
a-k-a         acquaint, acquaintance
a-k-a/t       acquainted
a-k-a-tm-e    academy
a-k-d-sh      accommodation
a-k-e-s-df    acquisitive
a-k-e-s-sh    acquisition
a-k-e-u/t     accused
a-k-i         acquire
a-k-m         acknowledgment
a-k-n/s-tn    I cannot understand
a-k-n-i       aconite
a-k-o-l-i     acolyte
a-k-o-n       acorn
a-k-o-tn      accordion
a-k-p         accompany (Simp.), accomplish
a-k-p-e       accompany
a-k-p-l-e-s   accomplice
a-k-r         accord, acre, actor
a-k-r/e       accordingly
a-k-r/s-t     acrostic
a-k-r-a       accurate
a-k-r-e       accredit
a-k-r-e-mn-u-s  acrimonious
a-k-r-e-s     accredits, actress
a-k-r-e-s-e   acknowledge receipt
a-k-r-e-sh    accretion
