"word","formal","lazy","keyer","usage","hint"
"is","s","","","1",""
"this","ths","","","2",""
"were","e-r","","","3",""
"then","th-n","","","4",""
"may","m-a","","","5",""
"see","s-e","","","6",""
"phone","f-o-n","","","7",""
"center","^-s2-n","","","9",""
"these","th-e-s","","","11",""
"bet","b-e-t","","","12",""
"team","t-e-m","","","13",""
"glad","g-l","","","15",""
"store","s2-t-o-r","","","16",""
"done","d-n","","","17",""
"down","d-n","","","18",""
"new","n-u","","","19",""
"those","th-s","","","21",""
"build","b-ld","","","22",""
"the","th","","","23",""
"of","o","","","24",""
"and","nt","","","25",""
"to","t-u","","","26",""
"a","h","","","27",""
"in","n","","","28",""
"that","th-a","","","29",""
"I","a","","","30",""
"was","o-s","","","31",""
"he","e","","","32",""
"his","s","","","33",""
"with","e-th","","","34",""
"it","t","","","35",""
"for","f","","","36",""
"as","a-s","","","37",""
"had","a-d","","","38",""
"you","u","","","39",""
"not","n","","","40",""
"be","b","","","41",""
"on","o-n","","","42",""
"at","t","","","43",""
"by","b","","","44",""
"her","e-r","","","45",""
"which","ch","","","46",""
"have","v","","","47",""
"or","o-r","","","48",""
"from","f-m","","","49",""
"but","b","","","50",""
"all","o2","","","51",""
"him","e-m","","","52",""
"she","sh-e","","","53",""
"they","th-e","","","54",""
"my","m-a","","","55",""
"are","r","","","56",""
"so","s2-o","","","57",""
"me","m-e","","","58",""
"their","th2","","","59",""
"an","h","","","60",""
"one","u-n","","","61",""
"we","u-e","","","63",""
"who","^-h-\-u","","","64",""
"would","d","","","65",""
"said","s2-e-d","","","66",""
"been","b-n","","","67",""
"no","n-o","","","68",""
"will","l","","","69",""
"them","th-m","","","70",""
"when","e-n","","","71",""
"if","e-f","","","72",""
"there","th2","","","73",""
"more","m","","","74",""
"out","a-u","","","75",""
"any","n-e","","","76",""
"up","/-p","","","77",""
"into","nt-u","","","78",""
"your","u","","","79",""
"has","a-s","","","80",""
"do","d-o","","","81",""
"what","o-t","","","82",""
"could","k-d","","","83",""
"our","r","","","84",""
"than","th-n","","","85",""
"other","u-th","","","86",""
"some","s2-m","","","87",""
"very","v-e","","","88",""
"man","m-a-n","","","89",""
"upon","p-n","","","90",""
"about","a-b","","","91",""
"its","t-s","","","92",""
"only","o-n-e","","","93",""
"time","tm","","","94",""
"like","l-a","","","96",""
"little","l-e-t","","","97",""
"now","n-a-u","","","98",""
"should","sh-d","","","99",""
"can","k","","","100",""
"made","m-a-d","","","101",""
"did","td","","","102",""
"such","s-ch","","","103",""
"great","g-r","","","104",""
"must","m-s","","","105",""
"two","t-u","","","106",""
"before","b-f","","","107",""
"us","u-s","","","108",""
"over","^-o","","","109",""
"much","m-ch","","","111",""
"know","n-o","","","112",""
"after","a-f","","","113",""
"first","f-e-s","","","114",""
"never","n-v","","","117",""
"most","m-o","","","118",""
"where","a-r","","","119",""
"old","o-ld","","","120",""
"men","mn","","","121",""
"own","o-n","","","122",""
"shall","sh","","","123",""
"came","k-a-m","","","125",""
"project","p-r-j-k","","","126",""
"without","e-th-t","","","127",""
"come","k-m","","","128",""
"make","m-a-k","","","129",""
"day","d-a","","","131",""
"might","m-a-t","","","132",""
"long","l-ng","","","133",""
"through","th-r-u","","","134",""
"himself","e-m-s","","","135",""
"work","r-k","","","136",""
"how","a-u","","","137",""
"go","g","","","138",""
"am","m","","","139",""
"way","u-a","","","140",""
"even","e-v-n","","","142",""
"many","mn-e","","","144",""
"well","l","","","145",""
"say","s-a","","","146",""
"every","e-v-e","","","147",""
"too","t-u","","","148",""
"think","th-\-h","","","149",""
"under","^-u","","","150",""
"life","l-a-f","","","151",""
"went","e-nt","","","152",""
