key,character
{LShift},{Space}
{RShift},{Backspace}
{Control},{Enter}
{Alt},{Esc}
{Reset},{NumLock}
NumLock,{Reset}
Numpad0,{LShift}
NumpadDot,{RShift}
NumpadEnter,{Control}
NumpadSub,{Alt}
NumpadAdd,{Tab}
NumpadDiv,{Layer_Numbers}
NumpadMult,{Layer_Symbols}
Numpad7;Numpad8;Numpad9,{Del}
Numpad4;Numpad5;Numpad6,.
Numpad1;Numpad2;Numpad3,{Comma}
Numpad1;Numpad5;Numpad9,{CapLock}
Numpad7,a
Numpad7;Numpad8,i
Numpad7;Numpad5,'
Numpad7;Numpad2,@
Numpad4,r
Numpad4;Numpad8,p
Numpad4;Numpad5,l
Numpad4;Numpad2,b
Numpad1,e
Numpad1;Numpad2,f
Numpad1;Numpad5,v
Numpad1;Numpad8,&
Numpad8,n
Numpad8;Numpad9,m
Numpad8;Numpad6,"
Numpad8;Numpad3,$
Numpad5,o
Numpad5;Numpad9,{!}
Numpad5;Numpad6,u
Numpad5;Numpad3,w
Numpad2,t
Numpad2;Numpad3,d
Numpad2;Numpad6,{Semicolon}
Numpad2;Numpad9,:
Numpad9,s
Numpad9;Numpad7,y
Numpad9;Numpad4,j
Numpad9;Numpad1,?
Numpad6,h
Numpad6;Numpad7,x
Numpad6;Numpad4,c
Numpad6;Numpad1,z
Numpad3,k
Numpad3;Numpad1,g
Numpad3;Numpad4,q
Numpad3;Numpad7,%
LnNumpad7;LnNumpad8;LnNumpad9,{Del}
LnNumpad4;LnNumpad5;LnNumpad6,.
LnNumpad1;LnNumpad2;LnNumpad3,{Comma}
LnNumpad7,7
LnNumpad7;LnNumpad8,&
LnNumpad7;LnNumpad5,{f7}
LnNumpad7;LnNumpad2,{+}
LnNumpad4,4
LnNumpad4;LnNumpad8,{f4}
LnNumpad4;LnNumpad5,$
LnNumpad4;LnNumpad2,{0}
LnNumpad1,1
LnNumpad1;LnNumpad8,{f10}
LnNumpad1;LnNumpad5,{f1}
LnNumpad1;LnNumpad2,{!}
LnNumpad8,8
LnNumpad8;LnNumpad9,*
LnNumpad8;LnNumpad6,{f8}
LnNumpad8;LnNumpad3,-
LnNumpad5,5
LnNumpad5;LnNumpad9,{f5}
LnNumpad5;LnNumpad6,%
LnNumpad5;LnNumpad3,)
LnNumpad2,2
LnNumpad2;LnNumpad3,{f11}
LnNumpad2;LnNumpad6,{f2}
LnNumpad2;LnNumpad9,@
LnNumpad9,9
LnNumpad9;LnNumpad7,(
LnNumpad9;LnNumpad4,{f9}
LnNumpad9;LnNumpad1,=
LnNumpad6,6
LnNumpad6;LnNumpad7,{f6}
LnNumpad6;LnNumpad4,{^}
LnNumpad6;LnNumpad1,/
LnNumpad3,3
LnNumpad3;LnNumpad7,{f12}
LnNumpad3;LnNumpad4,{f3}
LnNumpad3;LnNumpad1,{#}
LsNumpad7;LsNumpad8;LsNumpad9,{Del}
LsNumpad4;LsNumpad5;LsNumpad6,.
LsNumpad1;LsNumpad2;LsNumpad3,{Comma}
LsNumpad7,(
LsNumpad7;LsNumpad8,[
LsNumpad7;LsNumpad5,{{}
LsNumpad7;LsNumpad2,<
LsNumpad4,'
LsNumpad4;LsNumpad8,~
LsNumpad4;LsNumpad5,"
LsNumpad4;LsNumpad2,`
LsNumpad1,-
LsNumpad1;LsNumpad8,=
LsNumpad1;LsNumpad5,+
LsNumpad1;LsNumpad2,_
LsNumpad8,)
LsNumpad8;LsNumpad9,]
LsNumpad8;LsNumpad6,{}}
LsNumpad8;LsNumpad3,>
LsNumpad5,/
LsNumpad5;LsNumpad9,|
LsNumpad5;LsNumpad6,\
LsNumpad5;LsNumpad3,.
LsNumpad2,{PrintScreen}
LsNumpad2;LsNumpad3,{Launch_Mail}
LsNumpad2;LsNumpad6,{Launch_App1}
LsNumpad2;LsNumpad9,{Launch_App2}
LsNumpad9,{Volume_Up}
LsNumpad9;LsNumpad7,.
LsNumpad9;LsNumpad4,.
LsNumpad9;LsNumpad1,.
LsNumpad6,{Volume_Down}
LsNumpad6;LsNumpad7,.
LsNumpad6;LsNumpad4,{Pause}
LsNumpad6;LsNumpad1,.
LsNumpad3,{Volume_Mute}
LsNumpad3;LsNumpad7,.
LsNumpad3;LsNumpad4,.
LsNumpad3;LsNumpad1,.
