word,form,qwerd,keyer,usage,hint
Gregg Anniversary Shorthand,gazNd,gaznd,,1,-v1-
Gregg Shorthand,gzNd,gznd,,1,-v1-
joe,jo,jo,,9,-v1-
alex,alks,alks,,13,-v1-
news,nus,nus,,18,-v1-
de,de,deo,o,61,-v1-
mor,m,mi,i,73,-v1-
et,et,eto,o,108,-v1-
good,gd,gd,,113,-v1-
mr,mestE,meste,,114,-v1-
que,keu,quo,o,139,-v1-
laster,lasr,lasr,,151,-v1-
lasting,lasg,lasg,,151,-v1-
lasts,lass,lass,,151,-v1-
les,les,leso,o,158,-v1-
des,des,deso,o,177,-v1-
und,nd,ndo,o,188,-v1-
der,dE,deu,u,200,-v1-
un,n,ni,i,205,-v1-
mrs,mss,mss,,217,-v1-
having,vg,vg,,219,-v1-
going,gg,gg,,226,-v1-
minded,mind,mindu,u,228,-v1-
minding,ming,mingu,u,228,-v1-
qui,ke,qe,,233,-v1-
du,du,duu,u,239,-v1-
gutenberg,gutnbrg,gutnbrg,,245,-v1-
ne,ne,neo,o,251,-v1-
il,el,elo,o,253,-v1-
pos,pos,poso,o,267,-v1-
thou,hao,hwo,o,276,-v1-
wording,udg,udg,,280,-v1-
used,usd,usd,,282,-v1-
pas,pos,posu,u,298,-v1-
thy,hi,hio,o,315,-v1-
je,je,jeo,o,318,-v1-
four,f,fo,o,363,-v1-
vous,vu,vu,,390,-v1-
thee,he,hei,i,403,-v1-
states,sts,sts,,409,-v1-
looking,lug,lug,,415,-v1-
terms,tems,tems,,418,-v1-
making,makg,makg,,422,-v1-
cried,krid,krid,,424,-v1-
answered,ansd,ansd,,425,-v1-
friends,frs,frs,,428,-v1-
towards,tods,tods,,429,-v1-
five,fiv,fiv,,436,-v1-
care,ka,ka,,438,-v1-
seems,sems,sems,,452,-v1-
par,por,poro,o,454,-v1-
sur,sE,seu,u,461,-v1-
sa,so,soi,i,484,-v1-
lui,lu,luo,o,488,-v1-
est,est,esto,o,491,-v1-
arms,Ams,ams,,507,-v1-
necessaries,nesss,nesss,,508,-v1-
si,se,sei,i,509,-v1-
sometimes,smtms,smtms,,510,-v1-
saying,sag,sag,,513,-v1-
das,das,dasu,u,514,-v1-
van,van,vano,o,522,-v1-
six,seks,seks,,525,-v1-
von,von,vono,o,527,-v1-
taking,takg,takg,,530,-v1-
feeling,felg,felg,,546,-v1-
footnote,futnot,futnot,,547,-v1-
suddenly,sudne,sudne,,549,-v1-
es,es,eso,o,562,-v1-
laws,los,loso,o,564,-v1-
sie,se,sew,w,565,-v1-
miles,mis,mis,,566,-v1-
ich,ec,eco,o,573,-v1-
nous,nus,nuso,o,582,-v1-
france,frans,frans,,588,-v1-
mit,emite,emite,,603,-v1-
living,levg,levg,,610,-v1-
dr,driv,driv,,620,-v1-
doing,dug,dug,,622,-v1-
unwanted,nontd,nontd,,638,-v1-
quill,kl,ql,,647,-v1-
elle,el,eli,i,649,-v1-
archive,arkiv,arkiv,,652,-v1-
te,te,teu,u,655,-v1-
lived,levd,levd,,661,-v1-
bien,bn,bno,o,670,-v1-
playbook,plabk,plabk,,672,-v1-
playbooked,plabkd,plabkd,,672,-v1-
playbooking,plabkg,plabkg,,672,-v1-
playbooks,plabks,plabks,,672,-v1-
tout,taot,twt,,675,-v1-
cd,sede,sede,,676,-v1-
donations,donazs,donazs,,684,-v1-
als,als,alsu,u,686,-v1-
mastered,masd,masd,,689,-v1-
mastering,masg,masgo,o,689,-v1-
masterworks,masrks,masrks,,689,-v1-
informational,nfmzl,nfmzl,,698,-v1-
informationally,nfmzle,nfmzle,,698,-v1-
informations,nfmzs,nfmzs,,698,-v1-
according,akrg,akrg,,704,-v1-
paris,pers,prso,o,714,-v1-
books,bks,bks,,721,-v1-
beginning,bgeng,bgeng,,727,-v1-
ein,an,anu,u,729,-v1-
standing,stng,stng,,730,-v1-
knows,nos,nos,,731,-v1-
unto,ntu,ntuo,o,737,-v1-
madame,madm,madm,,742,-v1-
ou,u,ue,e,753,-v1-
giving,geg,geg,,765,-v1-
twenty,tente,tente,,771,-v1-
george,joj,joj,,773,-v1-
getting,getg,getg,,782,-v1-
thoughts,Hots,hots,,793,-v1-
parts,pts,pts,,797,-v1-
leaving,levg,levgo,o,798,-v1-
moved,mud,mud,,807,-v1-
writing,rig,rig,,832,-v1-
boys,boes,bys,,833,-v1-
horses,hoss,hoss,,834,-v1-
charles,corls,corls,,840,-v1-
william,lY m,ly m,,850,-v1-
mary,mere,mereu,u,857,-v1-
provided,prvid,prvid,,859,-v1-
provider,prvir,prvir,,859,-v1-
providing,prvig,prvig,,859,-v1-
german,jEmn,jemn,,861,-v1-
exclaimed,esklamd,xklamd,,864,-v1-
etc,tsetr,tsetr,,867,-v1-
scarcely,skase,skase,,868,-v1-
christianed,krescd,krescd,,870,-v1-
christianing,krescg,krescg,,870,-v1-
christians,krescs,krescs,,870,-v1-
trying,trig,trig,,881,-v1-
british,bretz,bretz,,885,-v1-
allowed,ald,ald,,886,-v1-
los,los,losu,u,896,-v1-
mon,mn,mno,o,899,-v1-
seven,sevn,sevn,,905,-v1-
copies,kpes,kpes,,908,-v1-
waiting,uatg,uatg,,911,-v1-
observed,absevd,absevd,,913,-v1-
reading,rdg,rdg,,919,-v1-
circumstances,sekmstnss,sekmstnss,,923,-v1-
discovered,dskvd,dskvd,,925,-v1-
henry,henre,henre,,928,-v1-
speaking,spg,spg,,929,-v1-
lines,lins,lins,,931,-v1-
sitting,setg,setg,,933,-v1-
efforts,efts,efts,,935,-v1-
sans,sans,sanso,o,938,-v1-
believed,bed,bedo,o,942,-v1-
officers,osrs,osrs,,948,-v1-
supposed,spod,spod,,953,-v1-
toning,tong,tongo,o,954,-v1-
girls,gls,gls,,956,-v1-
determined,dtmnd,dtmnd,,958,-v1-
appears,aprs,aprs,,960,-v1-
step,step,stepo,o,961,-v1-
honour,onE,oneu,u,962,-v1-
eight,at,ati,i,968,-v1-
prepared,prepd,prpd,,970,-v1-
associated,asoseatd,asosetd,,977,-v1-
fifty,fefte,fefte,,979,-v1-
turning,teng,teng,,983,-v1-
usually,uze,uze,,986,-v1-
perfectly,pefkte,pefkte,,994,-v1-
talking,tokg,tokg,,1001,-v1-
passing,pasg,pasg,,1002,-v1-
dat,dat,dato,o,1006,-v1-
afternoons,afnus,afnus,,1007,-v1-
declared,dklerd,dklerd,,1009,-v1-
christ,kris,kris,,1012,-v1-
beneath,bneh,bneh,,1026,-v1-
duke,duk,duk,,1027,-v1-
tom,tm,tmo,o,1029,-v1-
distributes,dsBs,dsbso,o,1032,-v1-
roman,romn,romn,,1034,-v1-
straight,strat,strat,,1038,-v1-
matters,mats,mats,,1062,-v1-
using,usg,usg,,1063,-v1-
obliged,obld,obld,,1064,-v1-
morally,mory,mory,,1069,-v1-
morals,morls,morls,,1069,-v1-
keeping,kepg,kepg,,1071,-v1-
meeting,metg,metg,,1072,-v1-
aux,o,oy,y,1073,-v1-
walls,uos,uoso,o,1075,-v1-
running,rng,rng,,1078,-v1-
flowers,flrs,flrs,,1080,-v1-
james,jams,jams,,1087,-v1-
steps,steps,stepso,o,1088,-v1-
orders,ods,ods,,1090,-v1-
wooded,uudt,uudt,,1096,-v1-
woods,uuds,uuds,,1096,-v1-
pale,pal,pal,,1103,-v1-
worthy,uuhe,uuhe,,1107,-v1-
non,non,nono,o,1109,-v1-
spoken,spokn,spokn,,1130,-v1-
deux,du,dua,a,1132,-v1-
greek,grek,grek,,1133,-v1-
rome,rom,rom,,1134,-v1-
passion,paz,paz,,1144,-v1-
concerning,ksEng,kseng,,1155,-v1-
accepted,aksd,aksd,,1156,-v1-
ways,uas,uas,,1160,-v1-
del,del,delo,o,1161,-v1-
twelve,tuelv,tuelv,,1165,-v1-
di,de,dee,e,1171,-v1-
additional,adzl,adzl,,1175,-v1-
michael,makl,makl,,1177,-v1-
fait,fat,fato,o,1180,-v1-
faire,far,faru,u,1182,-v1-
distributions,dsBzs,dsbzs,,1183,-v1-
engaged,ngajd,ngajd,,1189,-v1-
shook,zuk,zuk,,1193,-v1-
europe,rp,rp,,1198,-v1-
decided,dsid,dsid,,1202,-v1-
described,dskribd,dskribd,,1210,-v1-
thirty,HEte,hete,,1215,-v1-
besides,bsis,bsis,,1222,-v1-
pride,prid,prid,,1230,-v1-
repeated,rpetd,rpetd,,1232,-v1-
exactly,esakte,xakte,,1235,-v1-
con,k,ku,u,1244,-v1-
knowing,nog,nog,,1245,-v1-
dollars,dos,dos,,1247,-v1-
watched,uoct,uoct,,1250,-v1-
holding,holdg,holdg,,1251,-v1-
trademark,tradmrk,tradmrk,,1253,-v1-
serving,sevg,sevg,,1257,-v1-
possessed,psest,psest,,1260,-v1-
meaning,meng,meng,,1261,-v1-
peter,petE,pete,,1276,-v1-
indians,ndeans,ndens,,1285,-v1-
louis,lus,luso,o,1286,-v1-
quicker,qekr,qekr,,1299,-v1-
quickly,qeke,qeke,,1299,-v1-
ideas,AY0 des,ay0 des,,1300,-v1-
sky,ski,ski,,1302,-v1-
auch,oc,oc,,1303,-v1-
ones,uns,unso,o,1304,-v1-
dropped,dropt,dropt,,1308,-v1-
sword,sod,sod,,1311,-v1-
rising,rizg,rizg,,1318,-v1-
da,do,doo,o,1320,-v1-
created,kreatd,kretd,,1326,-v1-
remembered,remd,remd,,1330,-v1-
regarded,red,redi,i,1335,-v1-
monsieur,msY r,msy r,,1339,-v1-
carefully,kafle,kafle,,1341,-v1-
points,oes,ys,,1342,-v1-
mountains,mntns,mntns,,1343,-v1-
expressed,esprt,xprt,,1347,-v1-
clothes,kloHs,klohs,,1349,-v1-
powers,paus,pws,,1351,-v1-
building,bldg,bldg,,1353,-v1-
smiled,smid,smid,,1355,-v1-
refused,rfeusd,rfusd,,1359,-v1-
im,em,emo,o,1373,-v1-
gamed,gamd,gamd,,1374,-v1-
gaming,gamg,gamg,,1374,-v1-
checking,cekg,cekg,,1376,-v1-
hearts,hAts,hats,,1378,-v1-
served,sevd,sevd,,1385,-v1-
tu,tu,tui,i,1387,-v1-
growing,grog,grog,,1389,-v1-
distributed,dsBd,dsbdo,o,1392,-v1-
events,evnts,evnts,,1393,-v1-
emperor,mprr,mprr,,1395,-v1-
leading,ledg,ledg,,1397,-v1-
telling,teg,teg,,1401,-v1-
judgment,jjm,jjm,,1403,-v1-
spanish,spanz,spanz,,1406,-v1-
frequently,freqnte,freqnte,,1408,-v1-
opening,opng,opng,,1415,-v1-
played,plad,plad,,1417,-v1-
sharpen,zarpn,zarpn,,1420,-v1-
sharpened,zarpnd,zarpnd,,1420,-v1-
sharpening,zarpng,zarpng,,1420,-v1-
sharpens,zarpns,zarpns,,1420,-v1-
sharper,zarpr,zarpr,,1420,-v1-
sharpest,zarpes,zarpes,,1420,-v1-
sharply,zarpe,zarpe,,1420,-v1-
sharpness,zarpnes,zarpnes,,1420,-v1-
forgotten,fgtn,fgtn,,1424,-v1-
jack,jak,jak,,1427,-v1-
sons,sns,sns,,1428,-v1-
facts,fakts,fakts,,1429,-v1-
willing,lg,lgo,o,1431,-v1-
