word,form,qwerd,keyer,chord,usage
Is,s,S,,qcsv,1
This,ths,Hs,,qchs,2
Were,e-r,Er,,qerx,3
Then,th-n,Hn,,qchn,4
May,m-a,Ma,,qamz,5
See,s-e,Se,,qesz,6
Phone,f-o-n,Fon,,qfno,7
Center,^-s2-n,Sn,,qcns,9
These,th-e-s,Hes,,qehs,11
Bet,b-e-t,Beto,o,qbeot,12
Team,t-e-m,Tem,,qemt,13
Glad,g-l,Gl,,qcgl,15
Store,s2-t-o-r,Stor,,qorst,16
Done,d-n,Dn,,qcdn,17
New,n-u,Nu,,qcnu,19
Those,th-s,Hso,o,qhos,21
Build,bld,Bld,,qbdl,22
The,th,H,,qchm,23
And,nt,Nt,,qntz,25
To,t-u,Tu,,qtuz,26
A,h,HK,,qchk,27
In,n,N,,qcmn,28
That,th-a,Ha,,qach,29
I,a,IK,,qcik,30
Was,o-s,Os,,qosv,31
He,e,E,,qcem,32
His,s2,Su,u,qsuv,33
With,e-th,Eh,,qehx,34
It,t,T,,qcmt,35
For,f,F,,qcfm,36
Had,a-d,Ad,,qacd,38
You,u,U,,qcmu,39
Not,n,Ni,i,qcin,40
Be,b,B,,qbcm,41
On,o-n,Ono,o,qnox,42
At,t,Ti,i,qcit,43
Her,e-r,Ero,o,qeor,45
Which,ch,C,,qcmv,46
Have,v,V,,qcnv,47
Or,o-r,Oro,o,qorv,48
From,f-m,Fm,,qfmv,49
All,o2,Oo,o,qcov,51
Him,e-m,Em,,qemv,52
She,sh-e,Ze,,qcez,53
They,th-e,Heo,o,qeho,54
My,m-a,Mao,o,qamo,55
Are,r,R,,qcmr,56
So,s2-o,Soo,o,qosz,57
Me,m-e,Meo,o,qemo,58
Their,th2,Ho,o,qcho,59
An,h,Hko,o,qhko,60
One,u-n,Un,,qnux,61
We,u-e,Ue,,qeux,62
Who,^-h-\-u,Hu,,qchu,63
Would,d,D,,qcdm,64
Said,s2-e-d,Sed,,qdes,65
Been,b-n,Bn,,qbnv,66
No,n-o,Noo,o,qnoz,67
Will,l,L,,qclm,68
Them,th-m,Hm,,qhmv,69
When,e-n,En,,qcen,70
If,e-f,Ef,,qbef,71
There,th2,Hi,i,qchi,72
More,m,M,,qcmx,73
Out,a-u,W,,qcmw,74
Any,n-e,Ne,,qenx,75
Up,/-p,P,,qcmp,76
Into,nt-u,Ntu,,qntu,77
Your,u,Uo,o,qoux,78
