"word","form","qwerd","keyer","chord","usage"
"seemed","s2-e-mt","semd","","dems","199"
"called","k-o-/-t","kod","","dko","204"
"looked","l-u-/-t","lud","","dlu","205"
"asked","s2-k-t","skd","","dks","239"
"hundred","^-h-\-u-nt","hund","","dhnu","302"
"received","r-s-e-/-t","rsed","","ders","310"
"passed","p-a-s2-t","pasdo","o","adops","319"
"united","e-u-n-i-/-t","unid","","dinu","389"
"replied","r-e-p-/-t","repd","","depr","415"
"followed","f-o-/-t","fod","","dfo","462"
"carried","k-a-e-/-t","kaed","","adek","477"
"reached","r-e-ch-t","recd","","cder","495"
"appeared","a-pr-/-t","aprd","","adpr","498"
"opened","o-jnt","opnd","","dnop","585"
"placed","pl-a-s2-t","plasd","","adlps","606"
"remained","r-e-mn-/-t","remmd","","demmr","625"
"walked","u-o-k-t","uokd","","dkou","662"
"learned","l-e-n-/-t","lend","","deln","712"
"happened","^-h-\-a-jnt","hapnd","","adhnp","715"
"arrived","a-r-i-/-t","arid","","adir","766"
"covered","k-v-/-t","kvd","","dkv","788"
"dinner","tn-r","dnr","","dnr","794"
"stopped","ss2-t","ssd","","dss","796"
"sudden","s2-u-tn","sudn","","dnsu","815"
"danger","tn-j-e2","dnje","","dejn","818"
"wished","u-sh-t","uzd","","duz","821"
"started","s2-t-a2-td","statd","","adstt","829"
"considered","k-s-/-t","ksd","","dks","830"
"expected","e-s-p-/-t","xpd","","dpx","833"
"formed","f-m-/-t","fmd","","dfm","848"
"offered","o-f-/-t","ofdo","o","dfoo","876"
"produced","pr-o-d-u-s2-t","produsd","","ddoprsu","891"
"laughed","l-a-f-t","lafd","","adfl","899"
"intended","n-tn-/-t","ntnd","","dnnt","901"
"modern","m-o-tn","modn","","dmno","928"
"pleased","pl-/-t","pld","","dlp","935"
"named","n-a-/-t","nado","o","adno","946"
"required","r-k-i-/-t","rqid","","diqr","955"
"fixed","f-e-x-t","fexd","","defx","959"
"spent","s-jnt","spnt","","npst","974"
"ordered","o-d-/-t","odd","","ddo","995"
"garden","g-a2-tn","gadn","","adgn","1025"
"changed","ch-/-t","cd","","cdz","1026"
"caused","k-s2-/-t","ksdo","o","dkos","1056"
"forced","f-s22-t","fsd","","dfs","1087"
"ordinary","o-tn","odn","","dno","1088"
"marked","m-a-r-k-t","markd","","adkmr","1099"
"promised","pr-m-e-s2-t","prmesd","","demprs","1148"
"talked","t-o-k-t","tokd","","dkot","1202"
"posted","p-o-s2-td","postd","","dopst","1227"
"finished","f-e-n-sh-t","fenzd","","defnz","1228"
"evidence","e-v-tn","evdn","","denv","1235"
"permitted","pr-m-e-td","prmetd","","demprt","1261"
"president","pr-e-s2-tn","presdn","","denprs","1299"
"touched","t-ch-t","tcd","","cdt","1328"
"desired","d-s-/-t","dsd","","dds","1359"
"waited","u-a-td","uatd","","adtu","1394"
"gathered","g-a-th-/-t","gahd","","adgh","1404"
"published","p-b-/-t","pbd","","bdp","1418"
"joined","j-o-e-nt","jynd","","djny","1426"
"liked","l-a-/-t","lado","o","adlo","1443"
"noticed","n-e-s2-t","nesdo","o","denos","1444"
"distinguished","d-s2-t-/-t","dstd","","ddst","1456"
