word,form,qwerd,keyer,chord,usage
American,a2-mn,Amn,,qamn,0
Americans,a2-mn-s,Amns,,qamns,0
Following up,f-o-p-\-h,Fopg,,qfgop,0
Goods,g-s,Gds,,qdgs,0
Undid,ndt,Ndd,,qdn,0
Reals,r-e-s,Res,,qers,0
Shut,sh-t,Zt,,qtz,0
Shutdown,sh-t-tn,Ztdn,,qdntz,0
Shutdowns,sh-t-tn-s,Ztdns,,qdnstz,0
Shutting,sh-t-\-h,Ztg,,qgtz,0
Shuts,sh-t-s,Zts,,qstz,0
Wine,u-i-n,Uino,o,qinou,1
Away,n-/-n,Nn,,qn,2
Jesus,j-e-ss,Jess,,qejs,3
Midst,m-e-d-s,Medso,o,qdems,3
Misunderstanding,m-s-/-s2-tn-\-h,Msstng,,qdgmns,4
Respects,r-e-s-s,Rsse,e,qers,7
Hopeful,^-h-\-o-p-f,Hopf,,qfhop,15
Quicker,k-\-w-^-e-k-r,Qekr,,qekqr,15
Background,b-a-k-g,Bakgo,o,qabgko,23
God,g-o-d,Gu,u,qgu,23
Gods,g-o-d-s,Gus,u,qgsu,23
Agreement,^-ya-m,Yam,,qamy,24
Agreements,^-ya-m-s,Yams,,qamsy,24
Coarse,k-r-s,Krso,o,qkors,26
Exchanged,e-s2-ch-d,Xct,,qctx,30
America,a-m,Amo,o,qamo,32
Poor,p-u,Po,,qpu,46
Backward,b-a-k-d,Bakdo,o,qabdko,48
Beautiful,b-t-e-f,Btef,,qbeft,53
Absolutely,a-b-s2-o-e,Absoe,,qabsy,61
They're,th-e-r,Heor,o,qehor,71
Missed,m-e-s2-t,Msd,,qdms,72
Balance,b-a-l,Bal,,qabl,73
Collection,k-o-l-sh,Kolz,,qkloz,80
Beyond,b-o-n,Bon,,qbno,99
Myself,m-a-s2,Mas,,qams,119
Appear,a-pr,Apr,,qaopr,128
Booked,b-k-d,Bkdo,o,qbdko,135
Booking,b-k-\-h,Bkgo,o,qbgko,135
Book,b-k,Bko,o,qbko,135
Books,b-k-s,Bkso,o,qbkos,135
Bookings,b-k-\-h-s,Bkzo,o,qbkoz,135
Recommend,r-k-mn,Rkmn,,qkmnr,143
False,f-o-s,Fos,,qfos,182
Unnecessary,u-n-e-ss,Uness,,qensu,200
Route,r-u-t,Rut,,qrtu,268
Turn,t-e-n,Tenu,u,qentu,293
Phone,f-o-n,Fon,,qfno,299
Quick,k-\-w-^-e-k,Qek,,qekq,312
Quickly,k-\-w-^-e-k-e,Qeke,,qekq,312
Under,^-u,Uu,,qu,315
Learn,l-e-n,Len,,qeln,323
Agree,^-ya,Ya,,qay,329
Gave,g-a,Ga,,qag,345
Chance,ch-a-n-s,Cans,,qacnos,366
Shared,sh-a2-d,Zadu,u,qaduz,380
Sharing,sh-a2-\-h,Zagu,u,qaguz,380
Source,s2-o-s,Sos,,qos,398
Feels,f-e-l-s,Fels,,qefls,400
Nice,n-i-s,Nis,,qins,405
Real,r-e,Re,,qer,486
Yesterday,e-s2-t,Esto,o,qeost,488
Mostly,m-o-e,Myo,o,qmoy,494
Changed,ch-/-t,Ct,,qct,507
Unchanged,n-ch-/-t,Nct,,qcnt,507
Of course,o-k,Oka,a,qako,514
Once,u-n-s,Uns,,qnsu,519
Securities,s2-e-k-/-r-s,Sekrso,o,qekors,530
Possible,p-o-s,Pos,,qops,546
Possibly,p-o-s-e,Pose,,qeops,546
Night,n-i,Nio,o,qino,581
Hope,^-h-\-o-p,Hop,,qhop,596
Service,^-s2,Si,i,qis,638
Excess,e-s-e-s,Xxo,o,qox,638
Passwordvault,p-u-d-v,Pudvo,o,qdopuv,678
Must,m-s,Ms,,qims,692
Move,m-u,Mu,,qmu,696
Made,m-a-d,Mad,,qadm,710
