word,form,qwerd,keyer,chord,usage
seeing,s-e-\-h,segi,i,egis,6
sees,s-e-s,seso,,eos,6
phones,f-o-n-s,fons,,fnos,7
phoning,f-o-n-\-h,fong,,fgno,7
down,d-n,dno,o,cdno,18
downside,d-n-s-i,dnsi,,dins,18
downsides,d-n-s-i-s,dnsis,,dins,18
of,o,o,,,24
you're,u-r,ur,,ru,39
being,b-\-h,bg,,bcg,41
but,b,bu,u,bcu,50
someday,s-m-d-a,smda,,adms,54
they'd,th-e-d,heod,,deho,54
they're,th-e-r,heor,,ehor,54
they've,th-e-v,heov,,ehov,54
wouldn't,d-n-t,dntooo,,dnt,54
timed,tm-d,tmd,,mtvd,93
timing,tm-\-h,tmg,,mtvg,93
timings,tm-\-h-s,tmgs,,mtvgs,93
should,sh-d,zd,,dz,97
muster,m-u-s-t-e2,muste,,emstu,103
mustered,m-u-s-t-e2-d,musted,,emstud,103
mustering,m-u-s-t-e2-\-h,musteg,,emstug,103
musters,m-u-s-t-e2-s,mustes,,emstus,103
rework,r-e-r-k,rerk,,ekr,132
reworked,r-e-r-k-d,rerkd,,dekr,132
reworking,r-e-r-k-\-h,rerkg,,egkr,132
reworks,r-e-r-k-s,rerks,,ekrs,132
workable,r-k-b,rkb,,bkr,132
workably,r-k-b-e,rkbe,,bekr,132
working,r-k-\-h,rkg,,gkr,132
workings,r-k-\-h-s,rkgs,,gkrs,132
works,r-k-s,rks,,krs,132
backed up,b-a-k-p-d,bakpd,,abkpd,148
backend,b-a-k-n-t,baknt,,abknt,148
backended,b-a-k-n-t-d,bakntd,,abkntd,148
backends,b-a-k-n-t-s,baknts,,abknts,148
backing up,b-a-k-p-\-h,bakpg,,abkpg,148
backup,b-a-k-p,bakp,,abkp,148
backups,b-a-k-p-s,bakps,,abkps,148
don't,d-o-n,don,,dno,188
i'm,i-m,im,,cim,188
god,g,gu,u,gu,202
sets,s2-e-t-s,sets,,eosts,207
setting,s2-e-t-\-h,setg,,estg,207
settings,s2-e-t-\-s,setso,o,eost,207
finder,f-i-r,fir,,fir,208
finders,f-i-r-s,firs,,firs,208
finding,f-i-\-h,fig,,fgi,208
findings,f-i-\-h-s,figs,,fgis,208
finds,f-i-s,fis,,fis,208
lookup,l-u-k-p,lukp,,klpu,216
lookups,l-u-k-p-s,lukps,,klpsu,216
all-nighter,o-n-i-r,onir,,inor,217
all-nighters,o-n-i-r-s,onirs,,inors,217
homework,^-h-\-o-m-r-k,homrk,,hkmor,246
presented,pr-d,prd,,dpr,276
presenter,pr-r,prr,,cpr,276
presenting,pr-\-h,prg,,gpr,276
poorer,p-u-r,pur,,pru,282
poorest,p-u-s-t,pust,,pstu,282
certainly,s2-e-tn-e,setne,,enst,283
certainties,s2-e-tn-t-e-s,setntes,,enst,283
certainty,s2-e-tn-t-e,setnte,,enst,283
read,r-e-d,redw,w,derw,323
downpour,dn-p-o-r,dnpor,,dnopr,324
outpouring,a-u-p-o-r-\-h,wporg,,goprw,324
pour,p-o-r,por,,opr,324
poured,p-o-r-d,pord,,dopr,324
pouring,p-o-r-\-h,porg,,gopr,324
