word,form,qwerd,keyer,chord,usage
Timed,tm-t,Tmt,,,93
Mustered,m-u-s-t-e2-t,Mustet,,,103
Reworked,r-e-r-k-t,Rerkt,,,132
Workflowed,r-k-f-l-o-t,Rkflot,,,132
Backended,b-a-k-nt-t,Bakntd,,,148
Righted,r-i-t,Rit,,,187
Presented,pr-t,Prt,,,276
Poured,p-o-r-t,Port,,,324
Friended,fr-t,Frt,,,327
Kinged,k-e-ng-t,Kegt,,,357
Shortsighted,^-sh-\s-i-td,Zsitd,,,422
Unquestioned,n-k-n-t,Nqnt,,,430
Questioned,k-n-t,Qnt,,,430
Accounted,a-k-td,Aktd,,,481
Changed,ch-t,Ct,,,550
Positioned,p-o-sh-t,Pozt,,,556
Unwanted,n-o-nt-t,Nontd,,,600
Serviced,^-s2-t,St,,,601
Paperworked,p-a-pr-k-t,Paprkt,,,649
Papered,p-a-pr-t,Paprt,,,649
Objectified,o-b-f-t,Obft,,,668
Objected,o-b-t,Obt,,,668
Singled,s2-e-ng-t,Segt,,,672
Windowed,u-e-nt-o-t,Uentot,,,721
Disfigured,d-s-f-e-g-r-t,Dsfegrt,,,735
Configured,k-f-e-g-r-t,Kfegrt,,,735
Configed,k-f-e-g-t,Kfegt,,,735
Agreed,^-ya-t,Yat,,,746
Bounced,b-n-s-t,Bnst,,,790
Bounded,b-n-t,Bnt,,,790
Rebounded,r-b-n-t,Rbnt,,,790
Unbounded,u-b-n-t,Ubnt,,,790
Quieted,k-i-td,Qitd,,,792
Wondered,u-u-n-t,Uunt,,,803
Commanded,k-m-a-n-t,Kmant,,,822
Originated,o-r-e-j-n-a-td,Orejnatd,,,885
Equated,e-k-a-td,Eqatd,,,982
Equalized,e-k-l-i-s-t,Eqlist,,,982
Equaled,e-k-l-t,Eqlt,,,982
Overstated,o-/-s2-td,Ostd,,,1000
Moved,m-u-t,Mut,,,1108
Restarted,r-s2-t-a2-td,Rstatd,,,1127
Startled,s2-t-a2-t-l-t,Statlt,,,1127
Proved,pr-v-t,Prvt,,,1144
Surprised,s-e-pr-i-s-t,Seprist,,,1168
Crowded,k-r-a-u-\-t,Krwt,,,1176
Overcrowded,o-\-k-r-a-u-\-t,Okrwt,,,1176
Judged,j-j-t,Jjt,,,1190
Searched,s2-e-ch-t,Sect,,,1201
Secured,s2-e-k-r-t,Sekrt,,,1260
Bored,b-o-r-t,Bort,,,1416
Directed,d-r-k-t,Drkt,,,1429
Redirected,r-e-d-r-k-t,Redrkt,,,1429
Unprepared,n-pr-e-p-t,Nprept,,,1440
Prepared,pr-e-p-t,Prept,,,1440
Prayed,pr-a-t,Prat,,,1458
Staged,s2-t-a-j-t,Stajt,,,1461
Guarded,g-a2-td,Gadt,,,1522
Imagined,e-m-a-j-t,Emajt,,,1554
Interested,^-n-\-s-\-t,Nst,,,1559
Complied,k-pl-i-t,Kplit,,,1566
Suffered,s2-u-f-t,Suft,,,1571
Mentioned,mn-sh-t,Mnzt,,,1594
Unmentioned,u-mn-sh-t,Umnzt,,,1594
Boxed,b-o-x-t,Boxt,,,1595
