word,form,qwerd,keyer,chord,usage
Rework,r-e-r-k,Rrk,,qekr,132
Reworked,r-e-r-k-d,Rrkd,,qdekr,132
Reworking,r-e-r-k-\-h,Rrkg,,qegkr,132
Reworks,r-e-r-k-s,Rrks,,qekrs,132
Rename,r-e-n-a,Rna,,qaenr,225
Renamed,r-e-n-a-d,Rnad,,qadenr,225
Renaming,r-e-n-a-\-h,Rnag,,qaegnr,225
Renames,r-e-n-a-s,Rnas,,qaenrs,225
Returnable,r-e-t-b,Rtb,,qbert,375
Returnably,r-e-t-b-e,Rtbe,,qbert,375
Returnables,r-e-t-b-s,Rtbs,,qberst,375
Returnability,r-e-t-\-b,Rtbu,u,qbeort,375
Returning,r-e-t-\-h,Rtgu,u,qegrt,375
Returns,r-e-t-s,Rtsu,u,qerst,375
Return,r-e-t,Rtu,u,qert,375
Restful,r-e-s-f,Rsf,,qefrs,399
Restfully,r-e-s-f-e,Rsfe,,qefrs,399
Rest,r-e-s,Rsw,w,qers,399
Really,r-e-e,Rei,i,qer,409
Replied,r-e-p-/-t,Rptu,u,qeprt,415
Shortsighted,^-sh-\s-i-td,Zsidd,,qdistz,422
Shortsightedly,^-sh-\s-i-td-e,Zsidde,,qdeistz,422
Returned,r-e-t-/-t,Rtdu,u,qdert,441
Returned,r-e-t-/-t,Rtt,,qert,441
Redoubt,r-e-d-a-u,Rdw,,qderw,447
Redoubts,r-e-d-a-u-s,Rdws,,qdersw,447
Ready,r-e-d-e,Rde,,qder,475
Accounted,a-k-td,Akdd,,qadkt,481
Reached,r-e-ch-t,Rcd,,qcder,495
Reached,r-e-ch-t,Rct,,qcert,495
Realist,r-e-\-s-t,Rst,o,qeorst,531
Realistically,r-e-\-s-t-e,Rste,,qerst,531
Realists,r-e-\-s-t-s,Rsts,,qerst,531
Realistic,r-e-\-s-t,Rstu,u,qeirst,531
Real,r-e,Rw,w,qer,531
Remember,r-e-mn,Rmm,,qemr,568
Remembered,r-e-mn-d,Rmmd,,qdemr,568
Remembering,r-e-mn-\-h,Rmmg,,qegmr,568
Remembers,r-e-mn-s,Rmms,,qemrs,568
Red,r-e-d,Rdu,u,qderu,603
Remained,r-e-mn-/-t,Rmmt,,qemrt,625
Rewrote,r-e-r-o-t,Rrot,,qeort,635
Regarding,r-e-\-h,Rg,,qegr,701
Regard,r-e,Rx,x,qeor,701
Reconfig,r-e-k-f-e-g,Rkfeg,,qefgkr,735
Reconfiged,r-e-k-f-e-g-d,Rkfegd,,qdefgkr,735
Reconfiging,r-e-k-f-e-g-\-h,Rkfegg,,qefgkr,735
Reconfigure,r-e-k-f-e-g-r,Rkfegr,,qefgkr,735
Reconfigured,r-e-k-f-e-g-r-d,Rkfegrd,,qdefgkr,735
Reconfiguring,r-e-k-f-e-g-r-\-h,Rkfegrg,,qefgkr,735
Reconfigures,r-e-k-f-e-g-r-s,Rkfegrs,,qefgkrs,735
Reconfiguration,r-e-k-f-e-g-r-sh,Rkfegrz,,qefgkrz,735
Reconfigurations,r-e-k-f-e-g-r-sh-s,Rkfegrzs,,qefgkrsz,735
Reconfigs,r-e-k-f-e-g-s,Rkfegs,,qefgkrs,735
Reach,r-e-ch,Rc,,qcer,737
Reaching,r-e-ch-\-h,Rcg,,qcegr,737
Remained,r-e-mn-t,Rmmdu,u,qdemor,768
Remaining,r-e-mn-\-h,Rmmh,o,qehmor,768
Remains,r-e-mn-s,Rmmsu,u,qemors,768
Remain,r-e-mn,Rmmu,u,qemor,768
Respected,r-e-s-d,Rsd,,qders,791
Respecting,r-e-s-\-h,Rsg,,qegrs,791
Respect,r-e-s,Rsq,q,qeors,791
Respects,r-e-s-s,Rssu,u,qers,791
Quieted,k-i-td,Qidd,,qdiqt,792
Supported,s-/-td,Sdd,i,qdist,858
Domain,d-o-mn,Domm,,qdmno,868
Dominate,d-o-mn-a-t,Dommat,,qadmnot,868
Dominated,d-o-mn-a-t-d,Dommatd,,qadmnot,868
Dominating,d-o-mn-a-t-\-h,Dommatg,,qadgmnot,868
Dominates,d-o-mn-a-t-s,Dommats,,qadmnost,868
Domained,d-o-mn-d,Dommd,,qdmno,868
Domaining,d-o-mn-\-h,Dommg,,qdgmno,868
Domains,d-o-mn-s,Domms,,qdmnos,868
Updated,u-p-td-t,Upddd,,qdptu,884
Originated,o-r-e-j-n-a-td,Orejnadd,,qadejnort,885
Redirection,r-e-d-r-k-sh,Rdrkz,,qdekrz,907
Redirections,r-e-d-r-k-sh-s,Rdrkzs,,qdekrsz,907
Religious,r-e-l-e-j-u-s,Rlejus,,qejlrsu,965
Religiously,r-e-l-e-j-u-s-e,Rlejuse,,qejlrsu,965
Equated,e-k-a-td,Eqadd,,qadeqt,982
Religion,r-e-l-e-j-n,Rlejn,,qejlnr,988
Religions,r-e-l-e-j-n-s,Rlejns,,qejlnrs,988
Overstated,o-/-s2-td,Osdd,,qdost,1000
Restarted,r-s2-t-a2-td,Rstadd,,qadrst,1127
Replied,r-e-p-d,Rpdu,u,qdepr,1315
Replying,r-e-p-\-h,Rpgu,u,qegpr,1315
Reply,r-e-p,Rpi,i,qepr,1315
Replies,r-e-p-s,Rpsu,u,qeprs,1315
Redirect,r-e-d-r-k,Rdrk,,qdekr,1429
Redirected,r-e-d-r-k-d,Rdrkd,,qdekr,1429
Redirecting,r-e-d-r-k-\-h,Rdrkg,,qdegkr,1429
Redirects,r-e-d-r-k-s,Rdrks,,qdekrs,1429
Reader,r-e2-d-e2,Rdeu,u,qdeor,1474
Regularly,r-e-g-e,Rge,,qegr,1501
Regulars,r-e-g-s,Rgs,,qegrs,1501
Regulated,r-e-g-\-u-d,Rgud,,qdegru,1501
Regulating,r-e-g-\-u-\-h,Rgug,,qegru,1501
Regulator,r-e-g-\-u-r,Rgur,,qegru,1501
Regulators,r-e-g-\-u-r-s,Rgurs,,qegrsu,1501
Regulates,r-e-g-\-u-s,Rgus,,qegrsu,1501
Regulation,r-e-g-\-u-sh,Rguz,,qegruz,1501
Resurrect,r-e-s-e-r-e-k,Rserek,,qekrs,1549
Resurrected,r-e-s-e-r-e-k-d,Rserekd,,qdekrs,1549
Resurrecting,r-e-s-e-r-e-k-\-h,Rserekg,,qegkrs,1549
