word,form,qwerd,keyer,chord,usage
Abandon,a-b-a-nt,Aband,,qabdn,0
Abeyance,a-b-a-n-s,Abans,,qabns,0
Abbey,a-b-e,Abe,,qabe,0
I believe,a-b-e,Abeo,o,qabeo,0
Able to say,a-bl-s-a,Ablsa,,qabls,0
About how many,a-b-mn-e,Abmne,,qabemn,0
Abundant,a-b-n-tn,Abndn,,qabdn,0
Abnormal,a-b-n-o-m-l,Abnoml,,qablmno,0
Aboard,a-b-o-d,Abod,,qabdo,0
Abolition,a-b-o-l-e-sh,Abolez,,qabeloz,0
Abolish,a-b-o-l-sh,Abolz,,qabloz,0
Aboriginal,a-b-o-r-e-j,Aborej,,qabejor,0
Abbreviate,a-br-e-v,Abrev,,qaberv,0
Abbreviation,a-br-e-v,Abrevo,o,qabeorv,0
Abroad,a-br-o-d,Abrod,,qabdor,0
Abrupt,a-br-p,Abrp,,qabpr,0
Absurd,a-b-s2-e2-d,Absed,,qabdes,0
Absurdity,a-b-s2-e2-td-e,Absedte,,qabdest,0
Abstract,a-b-s2-k,Absk,,qabks,0
Abscond,a-b-s2-k-nt,Absknd,,qabdkns,0
Absorb,a-b-s2-o-b,Absob,,qabos,0
Absorption,a-b-s2-o-p-sh,Absopz,,qabopsz,0
Absolutism,a-b-s2-o-s2-m,Absosm,,qabmos,0
Abstemious,a-b-s2-tm-u-s,Abstmus,,qabmstu,0
Abstain,a-b-s2-tn,Abstn,,qabnst,0
Archbishop,a2-ch-b-e-sh,Acbez,,qabcez,0
Archduchy,a2-ch-d-ch-e,Acdce,,qacde,0
Archery,a2-ch-e2-e,Acee,,qace,0
Adamantine,a-d-a-mn-tn,Adamntn,,qadmnt,0
Had been,a-d-b,Adb,,qabd,0
Antediluvian,a-/-d-e-l-u-v,Adeluv,,qadeluv,0
Adept,a-d-e-p,Adep,,qadep,0
Adequacy,a-d-e-k-s-e,Adeqse,,qadeqs,0
Adhere,a-d-^-h-\-e2,Adhe,,qadeh,0
Adage,a-d-j,Adj,,qadj,0
Idol,a-d-l,Adl,,qadl,0
Idyll,a-d-l,Adli,i,qadil,0
Idyllic,a-d-l-k,Adlk,,qadkl,0
Idle,a-d-l,Adlo,o,qadlo,0
Adumbration,a-tm-br-a-sh,Admbrz,,qabdmrz,0
Addenda,a-tn-d-a,Adnda,,qadn,0
Addendum,a-tn-tm,Adndm,,qadmn,0
Adenoid,a-tn-o-e,Adny,,qadny,0
Adornment,a-d-o-mn,Adomn,,qadmno,0
Adorn,a-d-o-n,Adon,,qadno,0
I don't,a-d-o-n,Adono,o,qadno,0
Adore,a-d-o-r,Ador,,qador,0
Adorable,a-d-o-r-b,Adorb,,qabdor,0
Adopt,a-d-p,Adp,,qadp,0
Adroit,a-d-r-o-e,Adry,,qadry,0
I desire to thank you,a-d-s2-th-u,Adshu,,qadhsu,0
Adsorption,a-d-s2-o-p-sh,Adsopz,,qadopsz,0
Adz,a-d-s,Adsu,u,qadsu,0
Antedate,a-/-td,Adt,,qadt,0
Adieu,a-d-e-u,Adu,,qadu,0
Adult,a-d-u-l,Adul,,qadlu,0
Adulterate,a-d-u-l-r-a,Adulra,,qadlru,0
Adduce,a-d-u-s,Adus,,qadsu,0
Additionally,a-d-sh-ya,Adzy,,qadyz,0
Affair,a-f-a-r,Afar,,qafr,0
Affairs,a-f-a-r-s,Afars,,qafrs,0
After-dinner,a-f-tn-r,Afdnr,,qadfnr,0
Affidavit,a-f-df,Afdv,,qadfv,0
Afghanistan,a-f-g-a-n,Afgan,,qafgn,0
Affiance,a-f-i-n-s,Afins,,qafins,0
Aforementioned,a-f-mn-sh-d,Afmnzd,,qadfmnz,0
Affright,a-fr-i,Afri,,qafir,0
Aforesaid,a-f-s22-e-d,Afsed,,qadefs,0
Aguascalientes,a-g-a-s2-k-l,Agaskl,,qagkls,0
Angle,a-ng-l,Agl,,qagl,0
Agglomeration,a-g-l-o-m-sh,Aglomz,,qaglmoz,0
Agnosticism,a-g-n-o-s2-t-ss,Agnostss,,qagnost,0
Angry,a-ng-r-e,Agre,,qaegr,0
Aground,a-g-r-nt,Agrnd,,qadgnr,0
Anglo-saxon,a-ng-s-a-s,Agsas,,qags,0
Anguish,a-ng-sh,Agz,,qagz,0
Atheism,a-th-e-s2-m,Ahesm,,qaehms,0
I think that,a-th-th-a,Ahha,,qah,0
I think it is,a-th-t-s,Ahts,,qahst,0
Adjacent,a-j-a-s,Ajas,,qajs,0
Adjudicate,a-j-d-e-k,Ajdek,,qadejk,0
Adjourned,a-j-e2-nt,Ajend,,qadejn,0
Adjective,a-j-k-v,Ajkv,,qajkv,0
Agile,a-j-l,Ajl,,qajl,0
Ageless,a-j-l,Ajlo,o,qajlo,0
Assistant general passenger agent,a-j-p-a,Ajpa,,qajp,0
Assistant general purchasing agent,a-j-pr-ch-/-a,Ajprca,,qacjpr,0
Agency,a-j-s-e,Ajse,,qaejs,0
Agitate,a-j-t-a,Ajta,,qajt,0
Adjust the matter,a-j-u-s2-m-a-t,Ajusmat,,qajmstu,0
Adjutant,a-j-u-tn,Ajutn,,qajntu,0
Academy,a-k-a-tm-e,Akadme,,qadekm,0
Aconite,a-k-n-i,Akni,,qaikn,0
I cannot understand,a-k-n-/-s2-tn,Aknstn,,qaknst,0
Accordion,a-k-o-tn,Akodn,,qadkno,0
Acolyte,a-k-o-l-i,Akoli,,qaiklo,0
Acorn,a-k-o-n,Akon,,qakno,0
Accomplice,a-k-pl-e-s,Akples,,qaeklps,0
Acrimonious,a-k-r-e-mn-u-s,Akremnus,,qaekmnrsu,0
Acknowledge receipt,a-k-r-e-s-e,Akrese,,qaekrs,0
According to my,a-k-r-m-a,Akrma,,qakmr,0
Akron,a-k-r-n,Akrn,,qaknr,0
Accordance,a-k-r-n-s,Akrns,,qaknrs,0
Acrobatic,a-k-r-o-b-/-a,Akroba,,qabkor,0
Acrobat,a-k-r-o-b-t,Akrobt,,qabkort,0
Acropolis,a-k-r-p,Akrp,,qakpr,0
Acrostic,a-k-r-/-s2-t,Akrst,,qakrst,0
Accrued,a-k-r-u-d,Akrud,,qadkru,0
Axiom,a-k-s2-e-m,Aksem,,qaekms,0
Acoustic,a-k-/-s2-t,Akst,,qakst,0
Accountant,a-k-tn,Aktn,,qaknt,0
Actuary,a-k-t-r-e,Aktre,,qaekrt,0
Actuate,a-k-t-e-u-t,Aktut,,qaktu,0
Accustomed,a-k-u-s-/-t,Akusd,,qadksu,0
Alabaster,a-l-a-b-a-s,Alabas,,qabls,0
Alarm,a-l-a-m,Alam,,qalm,0
Ailanthus,a-l-a-n-th-u-s,Alanhus,,qahlnsu,0
Alaska,a-l-a-s2-k,Alask,,qakls,0
I will be,a-l-b,Albi,i,qabil,0
Alibi,a-l-b-i,Albio,o,qabilo,0
Alberta,a-l-b,Albo,o,qablo,0
Alimony,a-l-e-mn-e,Alemne,,qaelmn,0
Aliquot,a-l-e-k-w-o-t,Aleqot,,qaeloqt,0
Alliterate,a-l-e-t,Alet,,qaelt,0
