word,form,qwerd,keyer,chord,usage
Habeas corpus,a-b-~-k,Abk,,qabk,0
-Ability,<-a-b-o,Abo<,,q<abo,0
Abominations,a-b-o-mm-sh-s,Abommzs,,qabmosz,0
Aborigine,a-b-o-r-e-j-n-e,Aborejne,,qabejnor,0
Aborigines,a-b-o-r-e-j-n-e-s,Aborejnes,,qabejnors,0
Abort,a-b-o-t,Abot,,qabot,0
Aborted,a-b-o-t-d,Abotd,,qabdot,0
Aborting,a-b-o-t-\-h,Abotg,,qabgot,0
Aborts,a-b-o-t-s,Abots,,qabost,0
Abortive,a-b-o-t-v,Abotv,,qabotv,0
Abortively,a-b-o-t-v-e,Abotve,,qabeotv,0
Abortion,a-b-o-t-sh,Abotz,,qabotz,0
Abortions,a-b-o-t-sh-s,Abotzs,,qabostz,0
Abortion,a-b-o-sh,Aboz,,qaboz,0
Abortions,a-b-o-sh-s,Abozs,,qabosz,0
Absolution,a-b-s2-o-l-sh,Absolz,,qablosz,0
Absolutions,a-b-s2-o-l-sh-s,Absolzs,,qablosz,0
Archbishops,a2-ch-b-e-sh-s,Acbezs,,qabcesz,0
Achieveably,a-c-e-v-b-e,Acevbe,,qabcev,0
Achievement,a-c-e-v-m,Acevm,,qacemv,0
Achievements,a-c-e-v-m-s,Acevms,,qacemsv,0
Adaptably,a-d-a-p-b-e,Adapbe,,qabdep,0
Adaptability,a-d-a-p-\-b,Adapbo,,qabdop,0
Adapter,a-d-a-p-/-r,Adapr,,qadpr,0
Adapters,a-d-a-p-/-r-s,Adaprs,,qadprs,0
Adaptations,a-d-a-p-sh-s,Adapzs,,qadpsz,0
Addictives,a-d-e-k-v-s,Adekvs,,qadeksv,0
Ideally,a-d-e-l-e,Adele,,qadel,0
Idealist,a-d-e-l-e-s,Adeles,,qadels,0
Idealists,a-d-e-l-e-s-s,Adeless,,qadels,0
Idealistic,a-d-e-l-\-s-t,Adelst,,qadelst,0
Idealistically,a-d-e-l-\-s-t-e,Adelste,,qadelst,0
Adherent,a-d-^-h-\-e-nt,Adhent,,qadehnt,0
Adherents,a-d-^-h-\-e-nt-s,Adhents,,qadehnst,0
Adopted,a-d-p-d,Adpd,,qadp,0
Adoptive,a-d-p-\-f,Adpf,,qadfp,0
Adoptively,a-d-p-\-f-e,Adpfe,,qadefp,0
Adopting,a-d-p-\-h,Adpg,,qadgp,0
Antidepressant,^-a-\-d-pr-e-s-nt,Adpresnt,,qadenprst,0
Antidepressants,^-a-\-d-pr-e-s-nt-s,Adpresnts,,qadenprst,0
Adopts,a-d-p-s,Adps,,qadps,0
Adoption,a-d-p-sh,Adpz,,qadpz,0
Adoptions,a-d-p-sh-s,Adpzs,,qadpsz,0
Ad valorem,a-d-~-v,Adv,,qadv,0
Affirmatives,a-f-e-m-v-s,Afemvs,,qaefmsv,0
Affirmations,a-f-e-m-sh-s,Afemzs,,qaefmsz,0
Afterthought,a-f-h-o-t,Afhot,,qafhot,0
Afterthoughts,a-f-h-o-t-s,Afhots,,qafhost,0
Afterlife,a-f-l-a,Afla,,qafl,0
Afterlives,a-f-l-a-s,Aflas,,qafls,0
Afflictions,a-fl-sh-s,Aflzs,,qaflsz,0
Argumentative,a-g-m-a-df,Agmatv,,qagmtv,0
Argumentatively,a-g-m-a-df-e,Agmatve,,qaegmtv,0
Argumentations,a-g-m-sh-s,Agmzs,,qagmsz,0
Athletic,a-th-l-/-a,Ahla,,qahl,0
Athletics,a-th-l-/-a-s,Ahlas,,qahls,0
Athlete,a-th-l-e-t,Ahlet,,qaehlt,0
Athletes,a-th-l-e-t-s,Ahlets,,qaehlst,0
Atheistic,a-th-\-s2-t,Ahst,,qahst,0
Adjudge,a-j-j,Ajj,,qaj,0
Adjudged,a-j-j-d,Ajjd,,qadj,0
Adjudging,a-j-j-\-h,Ajjg,,qagj,0
Adjudges,a-j-j-s,Ajjs,,qajs,0
Adjectives,a-j-k-v-s,Ajkvs,,qajksv,0
Assistant general manager,a-j-~-m,Ajm,,qajm,0
Agencies,a-j-s-e-s,Ajses,,qaejs,0
Accompaniment,a-k-p-e-m,Akpem,,qaekmp,0
Accompaniments,a-k-p-e-m-s,Akpems,,qaekmps,0
Acceleration,a-k-s-e-l-r-a-sh,Akselrz,,qaeklrsz,0
Accelerations,a-k-s-e-l-r-a-sh-s,Akselrzs,,qaeklrsz,0
Accession,a-k-s-e-sh,Aksez,,qaeksz,0
Accessions,a-k-s-e-sh-s,Aksezs,,qaeksz,0
Accessory,a-k-ss-r-e,Akssre,,qaekrs,0
Accessories,a-k-ss-r-e-s,Akssres,,qaekrs,0
Accountably,a-k-t-b-e,Aktbe,,qabekt,0
Architecturally,a-k-t-e-k-r-l-e,Aktekrle,,qaeklrt,0
Actualize,a-k-t-l-i-s,Aktlis,,qaiklst,0
Actualized,a-k-t-l-i-s-d,Aktlisd,,qadiklst,0
Actualizing,a-k-t-l-i-s-\-h,Aktlisg,,qagiklst,0
