Absolutely,a-b-s2-o-e,Absoe,,qabsy,61
Had,a-d,Ad,,qad,2277
American,a2-mn,Amn,,qamn,0
Americans,a2-mn-s,Amns,,qamns,0
America,a-m,Amo,o,qamo,32
Appear,a-pr,Apr,,qaopr,128
Back,b-a-k,Bak,,qabk,3030
Backward,b-a-k-d,Bakdo,o,qabdko,48
Background,b-a-k-g,Bakgo,o,qabgko,23
Balance,b-a-l,Bal,,qabl,73
Believe,b-e,Beo,o,qbeo,1395
Behalf,b-f,Bfo,o,qbfo,1458
Booked,b-k-d,Bkdo,o,qbdko,135
Booking,b-k-\-h,Bkgo,o,qbgko,135
Book,b-k,Bko,o,qbko,135
Books,b-k-s,Bkso,o,qbkos,135
Bookings,b-k-\-h-s,Bkzo,o,qbkoz,135
Beyond,b-o-n,Bon,,qbno,99
Beautiful,b-t-e-f,Btef,,qbeft,53
But,b,Bu,u,qbu,13805
Chance,ch-a-n-s,Cans,,qacnos,366
Changeability,ch-\-b,Cbo,o,qbco,2189
Changed,ch-/-t,Ct,,qct,507
Change,ch,Cu,u,qcu,2189
Changeability,ch-\-b,Cubo,o,qbcou,2189
Day,d-a,Da,,qad,959
Data,d-a-t,Dat,,qadt,1737
Did,td,Dd,,qd,3928
Doing,d-u-\-h,Dug,,qdgu,2757
Either,e-th2,Eho,o,qeho,741
Him,e-m,Em,,qem,1065
Went,e-nt,Ent,,qent,712
Were,e-r,Er,,qer,1977
Early,e-r-e,Ere,,qeir,1977
Herself,e-r-s,Ers,,qers,1977
Years,e-r-s,Erso,o,qeors,1977
Years,e-r-s,Ersu,u,qersu,1977
Year,e-r,Eru,u,qeru,1977
Yesterday,e-s2-t,Esto,o,qeost,488
Yesterdays,e-s2-t-s,Estos,o,qeost,488
Yesterdays,e-s2-t-s,Ests,,qest,488
Yesterdaies,e-s2-t-s,Estsqk,,qest,488
Yet,e-t,Et,,qeot,1254
Every,e-v-e,Eve,,qev,1758
Feels,f-e-l-s,Fels,,qefls,400
Found,f-nt,Fnd,,qdfn,1074
Founder,f-nt-r,Fndr,,qdfnr,1074
Founders,f-nt-r-s,Fndrs,,qdfnrs,1074
Phone,f-o-n,Fon,,qfno,299
Following up,f-o-p-\-h,Fopg,,qfgop,0
False,f-o-s,Fos,,qfos,182
Falsely,f-o-s-e,Fose,,qefos,182
Gave,g-a,Ga,,qag,345
Good,g,Gd,d,qdg,3350
Goods,g-s,Gds,,qdgs,0
God,g-o-d,Gu,u,qgu,23
Gods,g-o-d-s,Gus,u,qgsu,23
They're,th-e-r,Heor,o,qehor,71
There,th2,Hi,i,qhi,6054
Them,th-m,Hm,,qhm,4409
Than,th-n,Hno,o,qhno,3813
