About,a-b,Ab,,qab,4145
Abandon,a-b-a-nt,Aband,,qabdn,0
Abeyance,a-b-a-n-s,Abans,,qabns,0
Abed,a-b-d,Abd,,qabd,4145
Abbey,a-b-e,Abe,,qabe,0
I believe,a-b-e,Abeo,o,qabeo,0
About the,a-b-th,Abh,,qabh,2
Abide,a-b-i,Abi,,qabi,12
Able,a-bl,Abl,,qabl,2694
Able to say,a-bl-s-a,Ablsa,,qabls,0
Ablution,a-bl-sh,Ablz,,qablz,2694
About how many,a-b-mn-e,Abmne,,qabemn,0
Abound,a-b-n,Abn,,qabn,2
Abundant,a-b-n-tn,Abndn,,qabdn,0
Abnormal,a-b-n-o-m-l,Abnoml,,qablmno,0
Aboard,a-b-o-d,Abod,,qabdo,0
Abolition,a-b-o-l-e-sh,Abolez,,qabeloz,0
Abolish,a-b-o-l-sh,Abolz,,qabloz,0
Aboriginal,a-b-o-r-e-j,Aborej,,qabejor,0
Abbreviate,a-br-e-v,Abrev,,qaberv,0
Abbreviation,a-br-e-v,Abrevo,o,qabeorv,0
Abroad,a-br-o-d,Abrod,,qabdor,0
Abrupt,a-br-p,Abrp,,qabpr,0
Absent,a-b-s,Abs,,qabs,5
Absently,a-b-s-e,Abse,,qabes,5
Absurd,a-b-s2-e2-d,Absed,,qabdes,0
Absurdity,a-b-s2-e2-td-e,Absedte,,qabdest,0
Absentee,a-b-s-e,Abseo,o,qabeos,2
Abstract,a-b-s2-k,Absk,,qabks,0
Abscond,a-b-s2-k-nt,Absknd,,qabdkns,0
Absorb,a-b-s2-o-b,Absob,,qabos,0
Absorption,a-b-s2-o-p-sh,Absopz,,qabopsz,0
Absolutism,a-b-s2-o-s2-m,Absosm,,qabmos,0
Abstemious,a-b-s2-tm-u-s,Abstmus,,qabmstu,0
Abstain,a-b-s2-tn,Abstn,,qabnst,0
Above,a-b-v,Abv,,qabv,194
Archbishop,a2-ch-b-e-sh,Acbez,,qabcez,0
Archduchy,a2-ch-d-ch-e,Acdce,,qacde,0
Archery,a2-ch-e2-e,Acee,,qace,0
Adamantine,a-d-a-mn-tn,Adamntn,,qadmnt,0
Adapt,a-d-a-p,Adap,,qadp,6
Adapted,a-d-a-p-/-t,Adapd,,qadp,12
Had been,a-d-b,Adb,,qabd,0
Added,a-td,Addo,o,qado,350
Idly,a-d-e,Ade,,qade,2277
Ideal,a-d-e-l,Adel,,qadel,33
Antediluvian,a-/-d-e-l-u-v,Adeluv,,qadeluv,0
Idea,a-d-e,Adeo,o,qadeo,33
Adept,a-d-e-p,Adep,,qadep,0
Adequate,a-d-e-k,Adeq,,qadeq,8
Adequacy,a-d-e-k-s-e,Adeqse,,qadeqs,0
Adhere,a-d-^-h-\-e2,Adhe,,qadeh,0
Aid,a-d,Adi,i,qadi,2277
Adage,a-d-j,Adj,,qadj,0
Idol,a-d-l,Adl,,qadl,0
Idyll,a-d-l,Adli,i,qadil,0
Idyllic,a-d-l-k,Adlk,,qadkl,0
Idle,a-d-l,Adlo,o,qadlo,0
Adumbration,a-tm-br-a-sh,Admbrz,,qabdmrz,0
Addenda,a-tn-d-a,Adnda,,qadn,0
Addendum,a-tn-tm,Adndm,,qadmn,0
Adenoid,a-tn-o-e,Adny,,qadny,0
Adornment,a-d-o-mn,Adomn,,qadmno,0
Adorn,a-d-o-n,Adon,,qadno,0
I don't,a-d-o-n,Adono,o,qadno,0
Adore,a-d-o-r,Ador,,qador,0
Adorable,a-d-o-r-b,Adorb,,qabdor,0
Adopt,a-d-p,Adp,,qadp,0
Address,a-d-r,Adr,,qadr,470
Addressed,a-d-r-/-t,Adrd,,qadr,76
Adroit,a-d-r-o-e,Adry,,qadry,0
