word,formal,lazy,keyer,usage,hint
Gregg Anniversary Shorthand,gazNd,gaznd,,1,Gregg Anniversary Shorthand = gaznd (gazNd)  [22]
Gregg Shorthand,gzNd,gznd,,1,Gregg Shorthand = gznd (gzNd)  [11]
joe,jo,jo,,9,joe = jo (jo)  [1]
alex,alks,alks,,13,alex = alks (alks)  [0]
news,nus,nus,,18,news = nus (nus)  [1]
de,de,deo,o,61,de = deo (de)  [-1]
mor,m,mi,i,73,mor = mi (m)  [1]
et,et,eto,o,108,et = eto (et)  [-1]
good,gd,gd,,113,good = gd (gd)  [2]
mr,mestE,meste,,114,mr = meste (mestE)  [-3]
que,keu,quo,o,139,que = quo (keu)  [0]
laster,lasr,lasr,,151,laster = lasr (lasr)  [2]
lasting,lasg,lasg,,151,lasting = lasg (lasg)  [3]
lastly,lase,lase,,151,lastly = lase (lase)  [2]
lasts,lass,lass,,151,lasts = lass (lass)  [1]
les,les,leso,o,158,les = leso (les)  [-1]
des,des,deso,o,177,des = deso (des)  [-1]
und,nd,ndo,o,188,und = ndo (nd)  [0]
der,dE,deu,u,200,der = deu (dE)  [0]
un,n,ni,i,205,un = ni (n)  [0]
mrs,mss,mss,,217,mrs = mss (mss)  [0]
having,vg,vg,,219,having = vg (vg)  [4]
going,gg,gg,,226,going = gg (gg)  [3]
minded,mind,mindu,u,228,minded = mindu (mind)  [1]
minding,ming,mingu,u,228,minding = mingu (ming)  [2]
qui,ke,qe,,233,qui = qe (ke)  [1]
du,du,duu,u,239,du = duu (du)  [-1]
gutenberg,gutnbrg,gutnbrg,,245,gutenberg = gutnbrg (gutnbrg)  [2]
ne,ne,neo,o,251,ne = neo (ne)  [-1]
il,el,elo,o,253,il = elo (el)  [-1]
pos,pos,poso,o,267,pos = poso (pos)  [-1]
thou,hao,hwo,o,276,thou = hwo (hao)  [1]
wording,udg,udg,,280,wording = udg (udg)  [4]
used,usd,usd,,282,used = usd (usd)  [1]
works,rks,rks,,297,works = rks (rks)  [2]
pas,pos,posu,u,298,pas = posu (pos)  [-1]
thy,hi,hio,o,315,thy = hio (hi)  [0]
je,je,jeo,o,318,je = jeo (je)  [-1]
pour,por,por,,324,pour = por (por)  [1]
four,f,fo,o,363,four = fo (f)  [2]
vous,vu,vu,,390,vous = vu (vu)  [2]
thee,he,hei,i,403,thee = hei (he)  [1]
states,sts,sts,,409,states = sts (sts)  [3]
looking,lug,lug,,415,looking = lug (lug)  [4]
following,fog,fog,,416,following = fog (fog)  [6]
terms,tems,tems,,418,terms = tems (tems)  [1]
making,makg,makg,,422,making = makg (makg)  [2]
cried,krid,krid,,424,cried = krid (krid)  [1]
answered,ansd,ansd,,425,answered = ansd (ansd)  [4]
friends,frs,frs,,428,friends = frs (frs)  [4]
towards,tods,tods,,429,towards = tods (tods)  [3]
five,fiv,fiv,,436,five = fiv (fiv)  [1]
care,ka,ka,,438,care = ka (ka)  [2]
seems,sems,sems,,452,seems = sems (sems)  [1]
par,por,poro,o,454,par = poro (por)  [-1]
sur,sE,seu,u,461,sur = seu (sE)  [0]
sa,so,soi,i,484,sa = soi (so)  [-1]
lui,lu,luo,o,488,lui = luo (lu)  [0]
est,est,esto,o,491,est = esto (est)  [-1]
arms,Ams,ams,,507,arms = ams (Ams)  [1]
necessaries,nesss,nesss,,508,necessaries = nesss (nesss)  [6]
si,se,sei,i,509,si = sei (se)  [-1]
sometimes,smtms,smtms,,510,sometimes = smtms (smtms)  [4]
saying,sag,sag,,513,saying = sag (sag)  [3]
das,das,dasu,u,514,das = dasu (das)  [-1]
van,van,vano,o,522,van = vano (van)  [-1]
six,seks,seks,,525,six = seks (seks)  [-1]
von,von,vono,o,527,von = vono (von)  [-1]
taking,takg,takg,,530,taking = takg (takg)  [2]
feeling,felg,felg,,546,feeling = felg (felg)  [3]
footnote,futnot,futnot,,547,footnote = futnot (futnot)  [2]
suddenly,sudne,sudne,,549,suddenly = sudne (sudne)  [3]
es,es,eso,o,562,es = eso (es)  [-1]
laws,los,loso,o,564,laws = loso (los)  [0]
sie,se,sew,w,565,sie = sew (se)  [0]
miles,mis,mis,,566,miles = mis (mis)  [2]
ich,ec,eco,o,573,ich = eco (ec)  [0]
nous,nus,nuso,o,582,nous = nuso (nus)  [0]
france,frans,frans,,588,france = frans (frans)  [1]
mit,emite,emite,,603,mit = emite (emite)  [-2]
living,levg,levg,,610,living = levg (levg)  [2]
dr,driv,driv,,620,dr = driv (driv)  [-2]
doing,dug,dug,,622,doing = dug (dug)  [2]
certainly,setne,setne,,635,certainly = setne (setne)  [4]
unwanted,nontd,nontd,,638,unwanted = nontd (nontd)  [3]
quill,kl,ql,,647,quill = ql (kl)  [3]
elle,el,eli,i,649,elle = eli (el)  [1]
archive,arkiv,arkiv,,652,archive = arkiv (arkiv)  [2]
te,te,teu,u,655,te = teu (te)  [-1]
lived,levd,levd,,661,lived = levd (levd)  [1]
including,nkludg,nkludg,,662,including = nkludg (nkludg)  [3]
hath,hah,haho,o,669,hath = haho (hah)  [0]
bien,bn,bno,o,670,bien = bno (bn)  [1]
playbook,plabk,plabk,,672,playbook = plabk (plabk)  [3]
playbooked,plabkd,plabkd,,672,playbooked = plabkd (plabkd)  [4]
playbooking,plabkg,plabkg,,672,playbooking = plabkg (plabkg)  [5]
playbooks,plabks,plabks,,672,playbooks = plabks (plabks)  [3]
tout,taot,twt,,675,tout = twt (taot)  [1]
cd,sede,sede,,676,cd = sede (sede)  [-2]
donations,donazs,donazs,,684,donations = donazs (donazs)  [3]
als,als,alsu,u,686,als = alsu (als)  [-1]
mastered,masd,masd,,689,mastered = masd (masd)  [4]
mastering,masg,masgo,o,689,mastering = masgo (masg)  [4]
masterworks,masrks,masrks,,689,masterworks = masrks (masrks)  [5]
informational,nfmzl,nfmzl,,698,informational = nfmzl (nfmzl)  [8]
informationally,nfmzle,nfmzle,,698,informationally = nfmzle (nfmzle)  [9]
informations,nfmzs,nfmzs,,698,informations = nfmzs (nfmzs)  [7]
according,akrg,akrg,,704,according = akrg (akrg)  [5]
paris,pers,prso,o,714,paris = prso (pers)  [1]
books,bks,bks,,721,books = bks (bks)  [2]
beginning,bgeng,bgeng,,727,beginning = bgeng (bgeng)  [4]
ein,an,anu,u,729,ein = anu (an)  [0]
standing,stng,stng,,730,standing = stng (stng)  [4]
knows,nos,nos,,731,knows = nos (nos)  [2]
unto,ntu,ntuo,o,737,unto = ntuo (ntu)  [0]
madame,madm,madm,,742,madame = madm (madm)  [2]
seeing,seg,sege,e,743,seeing = sege (seg)  [2]
ou,u,ue,e,753,ou = ue (u)  [0]
giving,geg,geg,,765,giving = geg (geg)  [3]
condition,kdez,kdez,,770,condition = kdez (kdez)  [5]
twenty,tente,tente,,771,twenty = tente (tente)  [1]
george,joj,joj,,773,george = joj (joj)  [3]
getting,getg,getg,,782,getting = getg (getg)  [3]
thoughts,Hots,hots,,793,thoughts = hots (Hots)  [4]
parts,pts,pts,,797,parts = pts (pts)  [2]
leaving,levg,levgo,o,798,leaving = levgo (levg)  [2]
moved,mud,mud,,807,moved = mud (mud)  [2]
york,uk,uk,,815,york = uk (uk)  [2]
writing,rig,rig,,832,writing = rig (rig)  [4]
boys,boes,bys,,833,boys = bys (boes)  [0]
horses,hoss,hoss,,834,horses = hoss (hoss)  [2]
charles,corls,corls,,840,charles = corls (corls)  [2]
william,lY m,ly m,,850,william = ly m (lY m)  [3]
mary,mere,mereu,u,857,mary = mereu (mere)  [-1]
provided,prvid,prvid,,859,provided = prvid (prvid)  [3]
provider,prvir,prvir,,859,provider = prvir (prvir)  [3]
providing,prvig,prvig,,859,providing = prvig (prvig)  [4]
german,jEmn,jemn,,861,german = jemn (jEmn)  [2]
