word,formal,lazy,keyer,usage,hint
is,s,s,,1,is = s (s) [1]
this,ths,hs,,2,this = hs (ths) [2]
were,e-r,er,,3,were = er (e-r) [2]
then,th-n,hn,,4,then = hn (th-n) [2]
may,m-a,ma,,5,may = ma (m-a) [1]
see,s-e,se,,6,see = se (s-e) [1]
phone,f-o-n,fon,,7,phone = fon (f-o-n) [2]
center,^-s2-n,sn,,9,center = sn (^-s2-n) [4]
these,th-e-s,hes,,11,these = hes (th-e-s) [2]
bet,b-e-t,beto,o,12,bet = beto (b-e-t) [-1]
team,t-e-m,tem,,13,team = tem (t-e-m) [1]
glad,g-l,gl,,15,glad = gl (g-l) [2]
store,s2-t-o-r,stor,,16,store = stor (s2-t-o-r) [1]
done,d-n,dn,,17,done = dn (d-n) [2]
down,d-n,dno,o,18,down = dno (d-n) [1]
new,n-u,nu,,19,new = nu (n-u) [1]
those,th-s,hso,o,21,those = hso (th-s) [2]
build,bld,bld,,22,build = bld (bld) [2]
the,th,h,,23,the = h (th) [2]
of,o,o,,24,of = o (o) [1]
and,nt,nt,,25,and = nt (nt) [1]
to,t-u,tu,,26,to = tu (t-u) [0]
a,h,hk,,27,a = hk (h) [-1]
in,n,n,,28,in = n (n) [1]
that,th-a,ha,,29,that = ha (th-a) [2]
I,a,ik,,30,I = ik (a) [-1]
was,o-s,os,,31,was = os (o-s) [1]
he,e,e,,32,he = e (e) [1]
his,s,su,u,33,his = su (s) [1]
with,e-th,eh,,34,with = eh (e-th) [2]
it,t,t,,35,it = t (t) [1]
for,f,f,,36,for = f (f) [2]
as,a-s,aso,o,37,as = aso (a-s) [-1]
had,a-d,ad,,38,had = ad (a-d) [1]
you,u,u,,39,you = u (u) [2]
not,n,ni,i,40,not = ni (n) [1]
be,b,b,,41,be = b (b) [1]
on,o-n,ono,o,42,on = ono (o-n) [-1]
at,t,ti,i,43,at = ti (t) [0]
by,b,bo,o,44,by = bo (b) [0]
her,e-r,ero,o,45,her = ero (e-r) [0]
which,ch,c,,46,which = c (ch) [4]
have,v,v,,47,have = v (v) [3]
or,o-r,oro,o,48,or = oro (o-r) [-1]
from,f-m,fm,,49,from = fm (f-m) [2]
but,b,bu,u,50,but = bu (b) [1]
all,o2,oo,o,51,all = oo (o2) [1]
him,e-m,em,,52,him = em (e-m) [1]
she,sh-e,ze,,53,she = ze (sh-e) [1]
they,th-e,heo,o,54,they = heo (th-e) [1]
my,m-a,mao,o,55,my = mao (m-a) [-1]
are,r,r,,56,are = r (r) [2]
so,s2-o,soo,o,57,so = soo (s2-o) [-1]
me,m-e,meo,o,58,me = meo (m-e) [-1]
their,th2,ho,o,59,their = ho (th2) [3]
an,h,hko,o,60,an = hko (h) [-1]
one,u-n,un,,61,one = un (u-n) [1]
we,u-e,ue,,62,we = ue (u-e) [0]
who,^-h-\-u,hu,,63,who = hu (^-h-\-u) [1]
would,d,d,,64,would = d (d) [4]
said,s2-e-d,sed,,65,said = sed (s2-e-d) [1]
been,b-n,bn,,66,been = bn (b-n) [2]
no,n-o,noo,o,67,no = noo (n-o) [-1]
will,l,l,,68,will = l (l) [3]
them,th-m,hm,,69,them = hm (th-m) [2]
when,e-n,en,,70,when = en (e-n) [2]
if,e-f,ef,,71,if = ef (e-f) [0]
there,th2,hi,i,72,there = hi (th2) [3]
more,m,m,,73,more = m (m) [3]
out,a-u,w,,74,out = w (a-u) [2]
any,n-e,ne,,75,any = ne (n-e) [1]
up,/-p,p,,76,up = p (/-p) [1]
into,nt-u,ntu,,77,into = ntu (nt-u) [1]
your,u,uo,o,78,your = uo (u) [2]
has,a-s,asu,u,79,has = asu (a-s) [0]
do,d-o,doo,o,80,do = doo (d-o) [-1]
what,o-t,ot,,81,what = ot (o-t) [2]
could,k-d,kd,,82,could = kd (k-d) [3]
our,r,ro,o,83,our = ro (r) [1]
other,u-th,uh,,85,other = uh (u-th) [3]
some,s2-m,sm,,86,some = sm (s2-m) [2]
very,v-e,ve,,87,very = ve (v-e) [2]
man,m-a-n,mano,o,88,man = mano (m-a-n) [-1]
upon,p-n,pn,,89,upon = pn (p-n) [2]
about,a-b,ab,,90,about = ab (a-b) [3]
its,t-s,ts,,91,its = ts (t-s) [1]
only,o-n-e,oneo,o,92,only = oneo (o-n-e) [0]
time,tm,tm,,93,time = tm (tm) [2]
like,l-a,la,,94,like = la (l-a) [2]
little,l-e-t,leto,o,95,little = leto (l-e-t) [2]
now,n-a-u,nw,,96,now = nw (n-a-u) [1]
should,sh-d,zd,,97,should = zd (sh-d) [4]
can,k,k,,98,can = k (k) [2]
made,m-a-d,mad,,99,made = mad (m-a-d) [1]
did,td,dd,,100,did = dd (td) [1]
such,s-ch,sc,,101,such = sc (s-ch) [2]
great,g-r,gr,,102,great = gr (g-r) [3]
must,m-s,ms,,103,must = ms (m-s) [2]
two,t-u,tuo,o,104,two = tuo (t-u) [0]
before,b-f,bf,,105,before = bf (b-f) [4]
us,u-s,uso,o,106,us = uso (u-s) [-1]
over,^-o,ou,u,107,over = ou (^-o) [2]
much,m-ch,mc,,108,much = mc (m-ch) [2]
know,n-o,nou,u,109,know = nou (n-o) [1]
after,a-f,af,,110,after = af (a-f) [3]
first,f-e-s,fes,,111,first = fes (f-e-s) [2]
never,n-v,nv,,114,never = nv (n-v) [3]
most,m-o,mo,,115,most = mo (m-o) [2]
where,a-r,ar,,116,where = ar (a-r) [3]
old,o-ld,oldo,o,117,old = oldo (o-ld) [-1]
men,mn,mm,,118,men = mm (mn) [1]
own,o-n,onu,u,119,own = onu (o-n) [0]
shall,sh,z,,120,shall = z (sh) [4]
came,k-a-m,kam,,121,came = kam (k-a-m) [1]
project,pr-j-k,prjk,,122,project = prjk (pr-j-k) [3]
without,e-th-t,eht,,123,without = eht (e-th-t) [4]
come,k-m,km,,124,come = km (k-m) [2]
make,m-a-k,mak,,125,make = mak (m-a-k) [1]
being,b-\-h,bg,,126,being = bg (b-\-h) [3]
day,d-a,da,,127,day = da (d-a) [1]
might,m-a-t,mat,,128,might = mat (m-a-t) [2]
long,l-ng,lg,,129,long = lg (l-ng) [2]
through,th-r-u,hru,,130,through = hru (th-r-u) [4]
himself,e-m-s,ems,,131,himself = ems (e-m-s) [4]
work,r-k,rk,,132,work = rk (r-k) [2]
how,a-u,wo,o,133,how = wo (a-u) [1]
go,g,g,,134,go = g (g) [1]
am,m,mu,u,135,am = mu (m) [0]
way,u-a,ua,,136,way = ua (u-a) [1]
even,e-v-n,evn,,137,even = evn (e-v-n) [1]
many,mn-e,mme,,139,many = mme (mn-e) [1]
well,l,lo,o,140,well = lo (l) [2]
say,s-a,sa,,141,say = sa (s-a) [1]
every,e-v-e,eve,,142,every = eve (e-v-e) [2]
too,t-u,tuu,u,143,too = tuu (t-u) [0]
think,th-\-h,hh,,144,think = hh (th-\-h) [3]
under,^-u,uu,u,145,under = uu (^-u) [3]
life,l-a-f,laf,,146,life = laf (l-a-f) [1]
went,e-nt,ent,,147,went = ent (e-nt) [1]
back,b-a-k,bak,,148,back = bak (b-a-k) [1]
same,s2-a-m,sam,,149,same = sam (s2-a-m) [1]
last,l-a-s,las,,150,last = las (l-a-s) [1]
found,f-nt,fnt,,151,found = fnt (f-nt) [2]
take,t-a,ta,,152,take = ta (t-a) [2]
people,p-e-p,pep,,153,people = pep (p-e-p) [3]
thought,th-o-t,hot,,154,thought = hot (th-o-t) [4]
here,^-h-\-e-r,hero,o,155,here = hero (^-h-\-e-r) [0]
still,s2-t-e2,ste,,156,still = ste (s2-t-e2) [2]
just,j-u-s,jus,,157,just = jus (j-u-s) [1]
while,i-l,il,,158,while = il (i-l) [3]
also,o-s2-o,oso,,160,also = oso (o-s2-o) [1]
again,a-g-n,agn,,161,again = agn (a-g-n) [2]
against,a-g-n-s,agns,,162,against = agns (a-g-n-s) [3]
place,pl-a-s,plas,,163,place = plas (pl-a-s) [1]
away,/-n,na,a,164,away = na (/-n) [2]
get,g-e-t,geto,o,165,get = geto (g-e-t) [-1]
young,u-ng,ug,,166,young = ug (u-ng) [3]
die,d-i,di,,167,die = di (d-i) [1]
though,th-o,hoo,o,168,though = hoo (th-o) [3]
yet,e-t,et,,169,yet = et (e-t) [1]
give,g-e,ge,,170,give = ge (g-e) [2]
hand,^-h-\-nt,hnt,,171,hand = hnt (^-h-\-nt) [1]
eyes,i-s,iso,o,172,eyes = iso (i-s) [1]
ever,e-v,ev,,173,ever = ev (e-v) [2]
part,p-t,pt,,174,part = pt (p-t) [2]
left,l-f-t,lft,,175,left = lft (l-f-t) [1]
saw,s2-o,sou,u,177,saw = sou (s2-o) [0]
years,e-r-s,ers,,178,years = ers (e-r-s) [2]
took,t-u-k,tuk,,179,took = tuk (t-u-k) [1]
nothing,n-\-h,ng,,180,nothing = ng (n-\-h) [5]
put,p,po,o,181,put = po (p) [1]
three,th2-e,heu,u,182,three = heu (th2-e) [2]
always,o-l-s,ols,,183,always = ols (o-l-s) [3]
off,o-f,ofo,o,184,off = ofo (o-f) [0]
once,u-n-s,uns,,185,once = uns (u-n-s) [1]
another,n-u-th,nuh,,186,another = nuh (n-u-th) [4]
right,r-i,ri,,187,right = ri (r-i) [3]
don't,d-o-n,don,,188,don't = don (d-o-n) [2]
between,b-tn,btn,,189,between = btn (b-tn) [4]
each,e-ch,ec,,190,each = ec (e-ch) [2]
