word,formal,lazy,keyer,usage,hint
as to,astu,astuq,,1,as to = astuq  (astu)  [1]
el paso,elpas,elpasq,,2,el paso = elpasq  (elpas)  [2]
in re,nre,nreqo,,2,in re = nreqo  (nre)  [2]
to ask,tusk,tuskq,,2,to ask = tuskq  (tusk)  [2]
to do,tdu,tduqo,,2,to do = tduqo  (tdu)  [2]
to go,tug,tugq,,2,to go = tugq  (tug)  [2]
to take,tutak,tutakq,,2,to take = tutakq  (tutak)  [2]
to us,tus,tusq,,2,to us = tusq  (tus)  [2]
we may,uema,uemaq,,2,we may = uemaq  (uema)  [2]
as the,ash,ashq,,3,as the = ashq  (ash)  [3]
at any,tne,tneq,,3,at any = tneq  (tne)  [3]
day to day,data,datao,o,3,day to day = datao (data)  [5]
I went,int,intq,,3,I went = intq  (int)  [3]
if you,efu,efuq,,3,if you = efuq  (efu)  [3]
it is,ts,tsqo,,3,it is = tsqo  (ts)  [3]
let us,les,lesq,,3,let us = lesq  (les)  [3]
may be,mab,mabq,,3,may be = mabq  (mab)  [3]
no one,non,nonq,,3,no one = nonq  (non)  [3]
of her,oer,oerq,,3,of her = oerq  (oer)  [3]
of us,os,osqo,,3,of us = osqo  (os)  [3]
on our,onr,onrq,,3,on our = onrq  (onr)  [3]
on the,onh,onhq,,3,on the = onhq  (onh)  [3]
on the contrary,onhRe,onhre,,3,on the contrary = onhre (onhRe)  [10]
on you,onu,onuq,,3,on you = onuq  (onu)  [3]
that is,thas,thasq,,3,that is = thasq  (thas)  [3]
to any,tne,tneqo,,3,to any = tneqo  (tne)  [3]
to be,tb,tbq,,3,to be = tbq  (tb)  [3]
to give,tuge,tugeq,,3,to give = tugeq  (tuge)  [3]
to place,tplas,tplasq,,3,to place = tplasq  (tplas)  [3]
to say,tsa,tsaq,,3,to say = tsaq  (tsa)  [3]
to see,tse,tseq,,3,to see = tseq  (tse)  [3]
to this,tuhs,tuhsq,,3,to this = tuhsq  (tuhs)  [3]
was not,osnt,osntq,,3,was not = osntq  (osnt)  [3]
we had,uid,uidq,,3,we had = uidq  (uid)  [3]
we hope,uhep,uhepq,,3,we hope = uhepq  (uhep)  [3]
with us,ehus,ehusq,,3,with us = ehusq  (ehus)  [3]
and the,nth,nthq,,4,and the = nthq  (nth)  [4]
and wrist,ndrest,ndresto,o,4,and wrist = ndresto (ndrest)  [2]
at his,ts,tsq,,4,at his = tsq  (ts)  [4]
at the,th,thq,,4,at the = thq  (th)  [4]
carry on,kian,kianq,,4,carry on = kianq  (kian)  [4]
did you,tdu,tduq,,4,did you = tduq  (tdu)  [4]
does not,dusn,dusnq,,4,does not = dusnq  (dusn)  [4]
few days,fdas,fdasq,,4,few days = fdasq  (fdas)  [4]
give us,ges,gesq,,4,give us = gesq  (ges)  [4]
had not,hadn,hadn,,4,had not = hadn (hadn)  [3]
he says,ess,essq,,4,he says = essq  (ess)  [4]
he was,es,esq,,4,he was = esq  (es)  [4]
I hope,ip,ipq,,4,I hope = ipq  (ip)  [4]
in our,nr,nrq,,4,in our = nrq  (nr)  [4]
in reply,nrep,nrepq,,4,in reply = nrepq  (nrep)  [4]
in the,nh,nhq,,4,in the = nhq  (nh)  [4]
it must,tms,tmsqo,,4,it must = tmsqo  (tms)  [4]
of all,oo,ooq,,4,of all = ooq  (oo)  [4]
of him,om,omq,,4,of him = omq  (om)  [4]
of his,os,osq,,4,of his = osq  (os)  [4]
of these,ohes,ohesq,,4,of these = ohesq  (ohes)  [4]
on your,onu,onuqo,,4,on your = onuqo  (onu)  [4]
per diem,prtm,prtmq,,4,per diem = prtmq  (prtm)  [4]
so well,sol,solq,,4,so well = solq  (sol)  [4]
tell us,tes,tesq,,4,tell us = tesq  (tes)  [4]
that the,thah,thahq,,4,that the = thahq  (thah)  [4]
that they,thahe,thaheq,,4,that they = thaheq  (thahe)  [4]
they had,thid,thidq,,4,they had = thidq  (thid)  [4]
to anyone,tneun,tneunq,,4,to anyone = tneunq  (tneun)  [4]
to honor,tone,toneq,,4,to honor = toneq  (tone)  [4]
to know,tno,tnoqo,,4,to know = tnoqo  (tno)  [4]
told us,tos,tosq,,4,told us = tosq  (tos)  [4]
upon the,pnh,pnh,,4,upon the = pnh (pnh)  [5]
we advise,uevis,uevisq,,4,we advise = uevisq  (uevis)  [4]
we have,uev,uevq,,4,we have = uevq  (uev)  [4]
we refer,uerf,uerfq,,4,we refer = uerfq  (uerf)  [4]
we were,uee,ueeq,,4,we were = ueeq  (uee)  [4]
wire us,irs,irsq,,4,wire us = irsq  (irs)  [4]
you may,uma,umaq,,4,you may = umaq  (uma)  [4]
allow us,als,alsq,,5,allow us = alsq  (als)  [5]
are you,ru,ruq,,5,are you = ruq  (ru)  [5]
as a rule,asrl,asrlq,,5,as a rule = asrlq  (asrl)  [5]
as low as,slos,slosq,,5,as low as = slosq  (slos)  [5]
de jure,dj,djq,,5,de jure = djq  (dj)  [5]
Dear Mr.,tmr,tmrq,,5,Dear Mr. = tmrq  (tmr)  [5]
Dear Ms.,tms,tmsq,,5,Dear Ms. = tmsq  (tms)  [5]
ex officio,esozo,esozoq,,5,ex officio = esozoq  (esozo)  [5]
few minutes,fmnets,fmnetsq,,5,few minutes = fmnetsq  (fmnets)  [5]
from its,fmts,fmts,,5,from its = fmts  (fmts)  [4]
from the,fmh,fmh,,5,from the = fmh  (fmh)  [5]
he can't,ekt,ektq,,5,he can't = ektq  (ekt)  [5]
he was not,eosnt,eosntq,,5,he was not = eosntq  (eosnt)  [5]
I am not,amn,amnq,,5,I am not = amnq  (amn)  [5]
I do not,atn,atnq,,5,I do not = atnq  (atn)  [5]
ice house,isus,isusq,,5,ice house = isusq  (isus)  [5]
it is not,tsnt,tsntq,,5,it is not = tsntq  (tsnt)  [5]
it may be,tmab,tmabq,,5,it may be = tmabq  (tmab)  [5]
it was not,tosnt,tosntq,,5,it was not = tosntq  (tosnt)  [5]
it will,tl,tlq,,5,it will = tlq  (tl)  [5]
of your,ou,ouq,,5,of your = ouq  (ou)  [5]
should be,shdb,shdbq,,5,should be = shdbq  (shdb)  [5]
there is,ths,thsq,,5,there is = thsq  (ths)  [5]
they are,thr,thrqo,,5,they are = thrqo  (thr)  [5]
to it,tut,tut,,5,to it = tut (tut)  [2]
to reduce,trus,trusq,,5,to reduce = trusq  (trus)  [5]
we always,uels,uelsq,,5,we always = uelsq  (uels)  [5]
we cannot,uekn,ueknq,,5,we cannot = ueknq  (uekn)  [5]
we do not,uetn,uetnq,,5,we do not = uetnq  (uetn)  [5]
we shall,uez,uezq,,5,we shall = uezq  (uez)  [5]
we should,uezd,uezdq,,5,we should = uezdq  (uezd)  [5]
weeks ago,eksg,eksgq,,5,weeks ago = eksgq  (eksg)  [5]
will be,lb,lbq,,5,will be = lbq  (lb)  [5]
with the,ehh,ehhq,,5,with the = ehhq  (ehh)  [5]
with you,ehu,ehuq,,5,with you = ehuq  (ehu)  [5]
write us,ris,risq,,5,write us = risq  (ris)  [5]
you are,ur,urq,,5,you are = urq  (ur)  [5]
at any date,tnetd,tnetdq,,6,at any date = tnetdq  (tnetd)  [6]
at any time,tnetm,tnetmq,,6,at any time = tnetmq  (tnetm)  [6]
costa rica,kosr,kosrq,,6,costa rica = kosrq  (kosr)  [6]
day or two,datu,datuq,,6,day or two = datuq  (datu)  [6]
for example,fesam,fesamq,,6,for example = fesamq  (fesam)  [6]
have done,vtn,vtnq,,6,have done = vtnq  (vtn)  [6]
I am sorry,amso,amsoq,,6,I am sorry = amsoq  (amso)  [6]
I am sure,amz,amzq,,6,I am sure = amzq  (amz)  [6]
I will be,alb,albq,,6,I will be = albq  (alb)  [6]
if you want,efunt,efuntq,,6,if you want = efuntq  (efunt)  [6]
in due time,ntutm,ntutmq,,6,in due time = ntutmq  (ntutm)  [6]
into the,ntuh,ntuh,,6,into the = ntuh (ntuh)  [4]
it must be,tmsb,tmsbq,,6,it must be = tmsbq  (tmsb)  [6]
jersey city,jsete,jseteq,,6,jersey city = jseteq  (jsete)  [6]
larger than,lajen,lajenq,,6,larger than = lajenq  (lajen)  [6]
must have,msv,msvq,,6,must have = msvq  (msv)  [6]
my friend,mif,mifq,,6,my friend = mifq  (mif)  [6]
