word,formal,lazy,keyer,usage,hint
seeing,s-e-\-h,sego,o,6,seeing = sego (s-e-\-h)  [2]
sees,s-e-s,seso,,6,sees = seso (s-e-s)  [0]
downside,d-n-s-i,dnsi,,18,downside = dnsi (d-n-s-i)  [4]
downsides,d-n-s-i-s,dnsis,,18,downsides = dnsis (d-n-s-i-s)  [4]
being,b-\-h,bg,,41,being = bg (b-\-h)  [3]
homework,^-h-\-o-m-r-k,homrk,,246,homework = homrk (^-h-\-o-m-r-k)  [3]
certainly,s2-e-tn-e,setne,,283,certainly = setne (s2-e-tn-e)  [4]
certainties,s2-e-tn-t-e-s,setntes,,283,certainties = setntes (s2-e-tn-t-e-s)  [4]
certainty,s2-e-tn-t-e,setnte,,283,certainty = setnte (s2-e-tn-t-e)  [3]
questionable,k-n-b,qnb,,430,questionable = qnb (k-n-b)  [9]
questioned,k-n-d,qnd,,430,questioned = qnd (k-n-d)  [7]
questioner,k-n-r,qnr,,430,questioner = qnr (k-n-r)  [7]
questioning,k-n-\-h,qng,,430,questioning = qng (k-n-\-h)  [8]
questionings,k-n-\-h-s,qngs,,430,questionings = qngs (k-n-\-h-s)  [8]
questions,k-n-s,qns,,430,questions = qns (k-n-s)  [6]
unquestionable,n-k-n-b,nqnb,,430,unquestionable = nqnb (n-k-n-b)  [10]
unquestionably,n-k-n-b-e,nqnbe,,430,unquestionably = nqnbe (n-k-n-b-e)  [9]
unquestioned,n-k-n-d,nqnd,,430,unquestioned = nqnd (n-k-n-d)  [8]
unquestioning,n-k-n-\-h,nqng,,430,unquestioning = nqng (n-k-n-\-h)  [9]
coming,k-m-\-h,kmg,,435,coming = kmg (k-m-\-h)  [3]
understandable,u-/-s2-tn-b,ustnb,,467,understandable = ustnb (u-/-s2-tn-b)  [9]
understandably,u-/-s2-tn-b-e,ustnbe,,467,understandably = ustnbe (u-/-s2-tn-b-e)  [8]
understanding,u-/-s2-tn-\-h,ustng,,467,understanding = ustng (u-/-s2-tn-\-h)  [8]
understandings,u-/-s2-tn-s-\-h,ustngs,,467,understandings = ustngs (u-/-s2-tn-s-\-h)  [8]
understands,u-/-s2-tn-s,ustns,,467,understands = ustns (u-/-s2-tn-s)  [6]
