word,formal,lazy,keyer,usage,hint
email,ema,ema,,10,email = ema (ema)  [2]
google,gugl,gugl,,10,google = gugl (gugl)  [2]
subnet,snet,snet,,10,subnet =  snet (snet)  [1]
subnets,snet-s,snets,,10,subnets = snets (snet-s)  [2]
subnetted,snet-d,snetd,,10,subnetted = snetd (snet-d)  [4]
subnetting,snet-\-h,snetg,,10,subnetting = snetg (snet-\-h)  [5]
emailed,emad,emad,,11,emailed = emad (emad)  [3]
emailing,emag,emag,,12,emailing = emag (emag)  [4]
emails,emas,emas,,13,emails = emas (emas)  [2]
workload,rklod,rklod,,133,workload = rklod (rklod)  [3]
workloads,rklods,rklods,,133,workloads = rklods (rklods)  [3]
tweak,twek,twek,,672,tweak = twek (twek)  [1]
tweaked,twekd,twekd,,672,tweaked = twekd (twekd)  [2]
tweaking,twekg,twekg,,672,tweaking = twekg (twekg)  [3]
tweaks,tweks,tweks,,672,tweaks = tweks (tweks)  [1]
gamified,gamfd,gamfd,,1374,gamified = gamfd (gamfd)  [3]
gamifing,gamfg,gamfg,,1374,gamifing = gamfg (gamfg)  [3]
gamify,gamf,gamf,,1374,gamify = gamf (gamf)  [2]
ansible,ansb,ansbo,o,12226,ansible = ansbo (ansb)  [2]
ansibles,ansbs,ansbs,,12226,ansibles = ansbs (ansbs)  [3]
automate,otmat,otmat,,12226,automate = otmat (otmat)  [3]
automated,otmatd,otmatd,,12226,automated = otmatd (otmatd)  [3]
automates,otmats,otmats,,12226,automates = otmats (otmats)  [3]
automating,otmatg,otmatg,,12226,automating = otmatg (otmatg)  [4]
automation,otmaz,otmaz,,12226,automation = otmaz (otmaz)  [5]
automations,otmazs,otmazs,,12226,automations = otmazs (otmazs)  [5]
interface,n-/-f-a-s,nfas,,20006,interface = nfas (n-/-f-a-s)  [5]
interfaced,n-/-f-a-s-d,nfasd,,20006,interfaced = nfasd (n-/-f-a-s-d)  [5]
interfaces,n-/-f-a-s-s,nfass,,20006,interfaces = nfass (n-/-f-a-s-s)  [5]
interfacing,n-/-f-a-s-\-h,nfasg,,20006,interfacing = nfasg (n-/-f-a-s-\-h)  [6]
containerization,ktnrz,ktnrz,,31584,containerization = ktnrz (ktnrz)  [11]
firewall,f-i-r-u-o-l,firuol,,59952,firewall = firuol (f-i-r-u-o-l)  [2]
firewalled,f-i-r-u-o-l-d,firuold,,59952,firewalled = firuold (f-i-r-u-o-l-d)  [3]
firewalling,f-i-r-u-o-l-\-h,firuolg,,59952,firewalling = firuolg (f-i-r-u-o-l-\-h)  [4]
firewalls,f-i-r-u-o-l-s,firuols,,59952,firewalls = firuols (f-i-r-u-o-l-s)  [2]
