word,formal,lazy,keyer,usage,hint
seeing,s-e-\-h,segi,i,6,seeing = segi (s-e-\-h)  [2]
sees,s-e-s,seso,,6,sees = seso (s-e-s)  [0]
downside,d-n-s-i,dnsi,,18,downside = dnsi (d-n-s-i)  [4]
downsides,d-n-s-i-s,dnsis,,18,downsides = dnsis (d-n-s-i-s)  [4]
being,b-\-h,bg,,41,being = bg (b-\-h)  [3]
look,l-u,lu,,216,look = lu (l-u)  [2]
lookup,l-u-k-p,lukp,,216,lookup = lukp (l-u-k-p)  [2]
lookups,l-u-k-p-s,lukps,,216,lookups = lukps (l-u-k-p-s)  [2]
homework,^-h-\-o-m-r-k,homrk,,246,homework = homrk (^-h-\-o-m-r-k)  [3]
presented,pr-d,prd,,276,presented = prd (pr-d)  [6]
presenter,pr-r,prr,,276,presenter = prr (pr-r)  [6]
presenting,pr-\-h,prg,,276,presenting = prg (pr-\-h)  [7]
certainly,s2-e-tn-e,setne,,283,certainly = setne (s2-e-tn-e)  [4]
certainties,s2-e-tn-t-e-s,setntes,,283,certainties = setntes (s2-e-tn-t-e-s)  [4]
certainty,s2-e-tn-t-e,setnte,,283,certainty = setnte (s2-e-tn-t-e)  [3]
seconding,s2-e-k-nt-\-h,sekntg,,373,seconding = sekntg (s2-e-k-nt-\-h)  [3]
secondly,s2-e-k-nt-e,seknte,,373,secondly = seknte (s2-e-k-nt-e)  [2]
seconds,s2-e-k-nt-s,seknts,,373,seconds = seknts (s2-e-k-nt-s)  [1]
questionable,k-n-b,qnb,,430,questionable = qnb (k-n-b)  [9]
questioned,k-n-d,qnd,,430,questioned = qnd (k-n-d)  [7]
questioner,k-n-r,qnr,,430,questioner = qnr (k-n-r)  [7]
questioning,k-n-\-h,qng,,430,questioning = qng (k-n-\-h)  [8]
questionings,k-n-\-h-s,qngs,,430,questionings = qngs (k-n-\-h-s)  [8]
questions,k-n-s,qns,,430,questions = qns (k-n-s)  [6]
unquestionable,n-k-n-b,nqnb,,430,unquestionable = nqnb (n-k-n-b)  [10]
unquestionably,n-k-n-b-e,nqnbe,,430,unquestionably = nqnbe (n-k-n-b-e)  [9]
unquestioned,n-k-n-d,nqnd,,430,unquestioned = nqnd (n-k-n-d)  [8]
unquestioning,n-k-n-\-h,nqng,,430,unquestioning = nqng (n-k-n-\-h)  [9]
coming,k-m-\-h,kmg,,435,coming = kmg (k-m-\-h)  [3]
understandable,u-/-s2-tn-b,ustnb,,467,understandable = ustnb (u-/-s2-tn-b)  [9]
understandably,u-/-s2-tn-b-e,ustnbe,,467,understandably = ustnbe (u-/-s2-tn-b-e)  [8]
understanding,u-/-s2-tn-\-h,ustng,,467,understanding = ustng (u-/-s2-tn-\-h)  [8]
understandings,u-/-s2-tn-s-\-h,ustngs,,467,understandings = ustngs (u-/-s2-tn-s-\-h)  [8]
understands,u-/-s2-tn-s,ustns,,467,understands = ustns (u-/-s2-tn-s)  [6]
accountable,a-k-t-b,aktb,,481,accountable = aktb (a-k-t-b)  [7]
accountably,a-k-t-b-e,aktbe,,481,accountably = aktbe (a-k-t-b-e)  [6]
accounted,a-k-t-d,aktd,,481,accounted = aktd (a-k-t-d)  [5]
accounting,a-k-t-\-h,aktg,,481,accounting = aktg (a-k-t-\-h)  [6]
accounts,a-k-t-s,akts,,481,accounts = akts (a-k-t-s)  [4]
positioned,p-o-sh-d,pozd,,556,positioned = pozd (p-o-sh-d)  [6]
positioning,p-o-sh-\-h,pozg,,556,positioning = pozg (p-o-sh-\-h)  [7]
positions,p-o-sh-s,pozs,,556,positions = pozs (p-o-sh-s)  [5]
notebook,n-o-t-b-k,notbk,o,584,notebook = notbk (n-o-t-b-k)  [3]
notebooks,n-o-t-b-k-s,notbks,o,584,notebooks = notbks (n-o-t-b-k-s)  [3]
notes,n-o-t-s,notos,o,584,notes = notos (n-o-t-s)  [0]
noting,n-o-t-\-h,notog,o,584,noting = notog (n-o-t-\-h)  [1]
importantly,m-p-e,mpe,,598,importantly = mpe (m-p-e)  [8]
serviceable,^-s2-b,sb,,601,serviceable = sb (^-s2-b)  [9]
serviceably,^-s2-b-e,sbe,,601,serviceably = sbe (^-s2-b-e)  [8]
serviced,^-s2-d,sd,,601,serviced = sd (^-s2-d)  [6]
servicing,^-s2-\-h,sg,,601,servicing = sg (^-s2-\-h)  [7]
agreements,^-ya-m-s,yams,,631,agreements = yams (^-ya-m-s)  [6]
papered,p-a-pr-d,paprd,,649,papered = paprd (p-a-pr-d)  [2]
papering,p-a-pr-\-h,paprg,,649,papering = paprg (p-a-pr-\-h)  [3]
paperwork,p-a-pr-k,paprk,,649,paperwork = paprk (p-a-pr-k)  [4]
paperworked,p-a-pr-k-d,paprkd,,649,paperworked = paprkd (p-a-pr-k-d)  [5]
paperworking,p-a-pr-k-\-h,paprkg,,649,paperworking = paprkg (p-a-pr-k-\-h)  [6]
paperworks,p-a-pr-k-s,paprks,,649,paperworks = paprks (p-a-pr-k-s)  [4]
singled,s2-e-ng-d,segd,,672,singled = segd (s2-e-ng-d)  [3]
singleton,s2-e-ng-tn,segtn,,672,singleton = segtn (s2-e-ng-tn)  [4]
singletons,s2-e-ng-tn-s,segtns,,672,singletons = segtns (s2-e-ng-tn-s)  [4]
singling,s2-e-ng-\-h,segg,,672,singling = segg (s2-e-ng-\-h)  [4]
singly,s2-e-ng-e,sege,,672,singly = sege (s2-e-ng-e)  [2]
captains,k-a-p-tn-s,kaptns,,687,captains = kaptns (k-a-p-tn-s)  [2]
agreed,^-ya-d,yad,,746,agreed = yad (^-ya-d)  [3]
agreeing,^-ya-\-h,yag,,746,agreeing = yag (^-ya-\-h)  [5]
agrees,^-ya-s,yas,,746,agrees = yas (^-ya-s)  [3]
resultant,r-s2-u-nt,rsunt,,837,resultant = rsunt (r-s2-u-nt)  [4]
resulting,r-s2-u-\-h,rsug,,837,resulting = rsug (r-s2-u-\-h)  [5]
conversational,k-v-e-sh-l,kvezl,,888,conversational = kvezl (k-v-e-sh-l)  [9]
conversations,k-v-e-sh-s,kvezs,,888,conversations = kvezs (k-v-e-sh-s)  [8]
directions,d-r-k-sh-s,drkzs,,907,directions = drkzs (d-r-k-sh-s)  [5]
redirection,r-e-d-r-k-sh,redrkz,,907,redirection = redrkz (r-e-d-r-k-sh)  [5]
redirections,r-e-d-r-k-sh-s,redrkzs,,907,redirections = redrkzs (r-e-d-r-k-sh-s)  [5]
breaking,br-a-k-\-h,brakg,,981,breaking = brakg (br-a-k-\-h)  [3]
directed,d-r-k-d,drkd,,1429,directed = drkd (d-r-k-d)  [4]
directing,d-r-k-\-h,drkg,,1429,directing = drkg (d-r-k-\-h)  [5]
directly,d-r-k-e,drke,,1429,directly = drke (d-r-k-e)  [4]
directness,d-r-k-n-s,drkns,,1429,directness = drkns (d-r-k-n-s)  [5]
directs,d-r-k-s,drks,,1429,directs = drks (d-r-k-s)  [3]
redirect,r-e-d-r-k,redrk,,1429,redirect = redrk (r-e-d-r-k)  [3]
redirected,r-e-d-r-k-d,redrkd,,1429,redirected = redrkd (r-e-d-r-k-d)  [4]
redirecting,r-e-d-r-k-\-h,redrkg,,1429,redirecting = redrkg (r-e-d-r-k-\-h)  [5]
redirects,r-e-d-r-k-s,redrks,,1429,redirects = redrks (r-e-d-r-k-s)  [3]
addresses,a-d-r-s,adrs,,1549,addresses = adrs (a-d-r-s)  [5]
addressing,a-d-r-\-h,adrg,,1549,addressing = adrg (a-d-r-\-h)  [6]
Constantine,k-s2-tn-e-n,kstnen,,1552,Constantine = kstnen (k-s2-tn-e-n)  [5]
constantly,k-s2-tn-e,kstne,,1552,constantly = kstne (k-s2-tn-e)  [5]
constants,k-s2-tn-s,kstns,,1552,constants = kstns (k-s2-tn-s)  [4]
interested,^-n-\-s-\-t,nst,,1559,interested = nst (^-n-\-s-\-t)  [7]
interesting,^-n-\-s-\-h,nsg,,1575,interesting = nsg (^-n-\-s-\-h)  [8]
interestingly,^-n-\-s-\-g,nsge,,1575,interestingly = nsge (^-n-\-s-\-g)  [9]
doubled,d-b-d,dbd,,1600,doubled = dbd (d-b-d)  [4]
doubleing,d-b-\-h,dbg,,1600,doubleing = dbg (d-b-\-h)  [6]
doubles,d-b-s,dbs,,1600,doubles = dbs (d-b-s)  [4]
doubling,d-b-\-h,dbg,,1600,doubling = dbg (d-b-\-h)  [5]
policies,p-o-l-s,pols,,1698,policies = pols (p-o-l-s)  [4]
relations,r-e-l-a-sh-s,relazs,,1704,relations = relazs (r-e-l-a-sh-s)  [3]
relationship,r-e-l-a-sh-\-sh,relazz,,1704,relationship = relazz (r-e-l-a-sh-\-sh)  [6]
relationships,r-e-l-a-sh-\-sh-s,relazzs,,1704,relationships = relazzs (r-e-l-a-sh-\-sh-s)  [6]
happened,^-h-\-a-p-n-d,hapnd,,1744,happened = hapnd (^-h-\-a-p-n-d)  [3]
happening,^-h-\-a-p-n-\-h,hapng,,1744,happening = hapng (^-h-\-a-p-n-\-h)  [4]
